PLC ,B1   ,201809160225,88,1001001009
PLC ,B1   ,201809160226,85,1001001009
PLC ,B1   ,201809160227,120,1001001009
PLC ,B1   ,201809160228,137,1001001009
PLC ,B1   ,201809160229,145,1001001009
PLC ,B1   ,201809160230,103,1001001009
PLC ,B1   ,201809160231,112,1001001009
PLC ,B1   ,201809160232,106,1001001009
PLC ,B1   ,201809160233,136,1001001009
PLC ,B1   ,201809160234,135,1001001009
PLC ,B1   ,201809160235,113,1001001009
PLC ,B1   ,201809160236,113,1001001009
PLC ,B1   ,201809160237,109,1001001009
PLC ,B1   ,201809160238,108,1001001009
PLC ,B1   ,201809160239,112,1001001009
PLC ,B1   ,201809160240,104,1001001009
PLC ,B1   ,201809160241,107,1001001009
PLC ,B1   ,201809160242,97,1001001009
PLC ,B1   ,201809160243,113,1001001009
PLC ,B1   ,201809160244,103,1001001009
PLC ,B1   ,201809160245,104,1001001009
PLC ,B1   ,201809160246,111,1001001009
PLC ,B1   ,201809160247,123,1001001009
PLC ,B1   ,201809160248,97,1001001009
PLC ,B1   ,201809160249,113,1001001009
PLC ,B1   ,201809160250,102,1001001009
PLC ,B1   ,201809160251,101,1001001009
PLC ,B1   ,201809160252,129,1001001009
PLC ,B1   ,201809160253,121,1001001009
PLC ,B1   ,201809160254,118,1001001009
PLC ,B1   ,201809160255,99,1001001009
PLC ,B1   ,201809160256,108,1001001009
PLC ,B1   ,201809160257,111,1001001009
PLC ,B1   ,201809160258,122,1001001009
PLC ,B1   ,201809160259,100,1001001009
PLC ,B1   ,201809160300,104,1001001009
PLC ,B1   ,201809160301,128,1001001009
PLC ,B1   ,201809160302,130,1001001009
PLC ,B1   ,201809160303,137,1001001009
PLC ,B1   ,201809160304,81,1001001009
PLC ,B1   ,201809160305,97,1001001009
PLC ,B1   ,201809160306,88,1001001009
PLC ,B1   ,201809160307,99,1001001009
PLC ,B1   ,201809160308,140,1001001009
PLC ,B1   ,201809160309,131,1001001009
PLC ,B1   ,201809160310,100,1001001009
PLC ,B1   ,201809160311,92,1001001009
PLC ,B1   ,201809160312,88,1001001009
PLC ,B1   ,201809160313,118,1001001009
PLC ,B1   ,201809160314,92,1001001009
PLC ,B1   ,201809160315,113,1001001009
PLC ,B1   ,201809160316,108,1001001009
PLC ,B1   ,201809160317,113,1001001009
PLC ,B1   ,201809160318,70,1001001009
PLC ,B1   ,201809160319,104,1001001009
PLC ,B1   ,201809160320,112,1001001009
PLC ,B1   ,201809160321,117,1001001009
PLC ,B1   ,201809160322,111,1001001009
PLC ,B1   ,201809160323,122,1001001009
PLC ,B1   ,201809160324,112,1001001009
PLC ,B1   ,201809160325,111,1001001009
PLC ,B1   ,201809160326,128,1001001009
PLC ,B1   ,201809160327,117,1001001009
PLC ,B1   ,201809160328,99,1001001009
PLC ,B1   ,201809160329,124,1001001009
PLC ,B1   ,201809160330,125,1001001009
PLC ,B1   ,201809160331,118,1001001009
PLC ,B1   ,201809160332,99,1001001009
PLC ,B1   ,201809160333,97,1001001009
