TME ,B1   ,201809160232,67,1001001009
TME ,B1   ,201809160233,56,1001001009
TME ,B1   ,201809160234,66,1001001009
TME ,B1   ,201809160235,73,1001001009
TME ,B1   ,201809160236,72,1001001009
TME ,B1   ,201809160237,68,1001001009
TME ,B1   ,201809160238,55,1001001009
TME ,B1   ,201809160239,53,1001001009
TME ,B1   ,201809160240,52,1001001009
TME ,B1   ,201809160241,69,1001001009
TME ,B1   ,201809160242,74,1001001009
TME ,B1   ,201809160243,65,1001001009
TME ,B1   ,201809160244,70,1001001009
TME ,B1   ,201809160245,61,1001001009
TME ,B1   ,201809160246,60,1001001009
TME ,B1   ,201809160247,75,1001001009
TME ,B1   ,201809160248,78,1001001009
TME ,B1   ,201809160249,59,1001001009
TME ,B1   ,201809160250,54,1001001009
TME ,B1   ,201809160251,81,1001001009
TME ,B1   ,201809160252,76,1001001009
TME ,B1   ,201809160253,63,1001001009
TME ,B1   ,201809160254,61,1001001009
TME ,B1   ,201809160255,73,1001001009
TME ,B1   ,201809160256,76,1001001009
TME ,B1   ,201809160257,69,1001001009
TME ,B1   ,201809160258,65,1001001009
TME ,B1   ,201809160259,59,1001001009
TME ,B1   ,201809160300,65,1001001009
TME ,B1   ,201809160301,66,1001001009
TME ,B1   ,201809160302,61,1001001009
TME ,B1   ,201809160303,63,1001001009
TME ,B1   ,201809160304,58,1001001009
TME ,B1   ,201809160305,54,1001001009
TME ,B1   ,201809160306,68,1001001009
TME ,B1   ,201809160307,58,1001001009
TME ,B1   ,201809160308,49,1001001009
TME ,B1   ,201809160309,51,1001001009
TME ,B1   ,201809160310,46,1001001009
TME ,B1   ,201809160311,43,1001001009
TME ,B1   ,201809160312,42,1001001009
TME ,B1   ,201809160313,40,1001001009
TME ,B1   ,201809160314,49,1001001009
TME ,B1   ,201809160315,49,1001001009
TME ,B1   ,201809160316,52,1001001009
TME ,B1   ,201809160317,61,1001001009
TME ,B1   ,201809160318,61,1001001009
TME ,B1   ,201809160319,73,1001001009
TME ,B1   ,201809160320,62,1001001009
TME ,B1   ,201809160321,64,1001001009
TME ,B1   ,201809160322,62,1001001009
TME ,B1   ,201809160323,66,1001001009
TME ,B1   ,201809160324,57,1001001009
TME ,B1   ,201809160325,57,1001001009
TME ,B1   ,201809160326,63,1001001009
TME ,B1   ,201809160327,47,1001001009
TME ,B1   ,201809160328,61,1001001009
TME ,B1   ,201809160329,49,1001001009
TME ,B1   ,201809160330,56,1001001009
TME ,B1   ,201809160331,50,1001001009
TME ,B1   ,201809160332,57,1001001009
TME ,B1   ,201809160333,57,1001001009
TME ,B1   ,201809160334,66,1001001009
TME ,B1   ,201809160335,55,1001001009
TME ,B1   ,201809160336,88,1001001009
TME ,B1   ,201809160337,61,1001001009
TME ,B1   ,201809160338,84,1001001009
TME ,B1   ,201809160339,83,1001001009
TME ,B1   ,201809160340,62,1001001009
TME ,B1   ,201809160341,77,1001001009
TME ,B1   ,201809160342,60,1001001009
TME ,B1   ,201809160343,51,1001001009
TME ,B1   ,201809160344,59,1001001009
TME ,B1   ,201809160345,45,1001001009
TME ,B1   ,201809160346,48,1001001009
TME ,B1   ,201809160347,53,1001001009
TME ,B1   ,201809160348,60,1001001009
TME ,B1   ,201809160349,83,1001001009
TME ,B1   ,201809160350,75,1001001009
TME ,B1   ,201809160351,69,1001001009
TME ,B1   ,201809160352,73,1001001009
TME ,B1   ,201809160353,64,1001001009
TME ,B1   ,201809160354,55,1001001009
TME ,B1   ,201809160355,83,1001001009
TME ,B1   ,201809160356,108,1001001009
TME ,B1   ,201809160357,90,1001001009
TME ,B1   ,201809160358,90,1001001009
TME ,B1   ,201809160359,92,1001001009
TME ,B1   ,201809160400,87,1001001009
TME ,B1   ,201809160401,78,1001001009
TME ,B1   ,201809160402,78,1001001009
TME ,B1   ,201809160403,65,1001001009
TME ,B1   ,201809160404,67,1001001009
TME ,B1   ,201809160405,85,1001001009
TME ,B1   ,201809160406,71,1001001009
TME ,B1   ,201809160407,91,1001001009
TME ,B1   ,201809160408,76,1001001009
TME ,B1   ,201809160409,60,1001001009
TME ,B1   ,201809160410,79,1001001009
TME ,B1   ,201809160411,91,1001001009
TME ,B1   ,201809160412,89,1001001009
TME ,B1   ,201809160413,84,1001001009
TME ,B1   ,201809160414,65,1001001009
TME ,B1   ,201809160415,78,1001001009
TME ,B1   ,201809160416,58,1001001009
TME ,B1   ,201809160417,73,1001001009
TME ,B1   ,201809160418,65,1001001009
TME ,B1   ,201809160419,59,1001001009
TME ,B1   ,201809160420,57,1001001009
TME ,B1   ,201809160421,49,1001001009
TME ,B1   ,201809160422,56,1001001009
TME ,B1   ,201809160423,42,1001001009
TME ,B1   ,201809160424,46,1001001009
TME ,B1   ,201809160425,55,1001001009
TME ,B1   ,201809160426,57,1001001009
TME ,B1   ,201809160427,53,1001001009
TME ,B1   ,201809160428,63,1001001009
TME ,B1   ,201809160429,65,1001001009
TME ,B1   ,201809160430,60,1001001009
TME ,B1   ,201809160431,58,1001001009
TME ,B1   ,201809160432,56,1001001009
TME ,B1   ,201809160433,67,1001001009
TME ,B1   ,201809160434,72,1001001009
TME ,B1   ,201809160435,60,1001001009
TME ,B1   ,201809160436,65,1001001009
TME ,B1   ,201809160437,66,1001001009
TME ,B1   ,201809160438,67,1001001009
TME ,B1   ,201809160439,86,1001001009
TME ,B1   ,201809160440,63,1001001009
