JKB ,B1   ,201809160225,77,1001001009
JKB ,B1   ,201809160226,46,1001001009
JKB ,B1   ,201809160227,42,1001001009
JKB ,B1   ,201809160228,72,1001001009
JKB ,B1   ,201809160229,93,1001001009
JKB ,B1   ,201809160230,51,1001001009
JKB ,B1   ,201809160231,73,1001001009
JKB ,B1   ,201809160232,80,1001001009
JKB ,B1   ,201809160233,74,1001001009
JKB ,B1   ,201809160234,40,1001001009
JKB ,B1   ,201809160235,36,1001001009
JKB ,B1   ,201809160236,71,1001001009
JKB ,B1   ,201809160237,54,1001001009
JKB ,B1   ,201809160238,35,1001001009
JKB ,B1   ,201809160239,28,1001001009
JKB ,B1   ,201809160240,52,1001001009
JKB ,B1   ,201809160241,93,1001001009
JKB ,B1   ,201809160242,79,1001001009
JKB ,B1   ,201809160243,65,1001001009
JKB ,B1   ,201809160244,72,1001001009
JKB ,B1   ,201809160245,60,1001001009
JKB ,B1   ,201809160246,65,1001001009
JKB ,B1   ,201809160247,51,1001001009
JKB ,B1   ,201809160248,57,1001001009
JKB ,B1   ,201809160249,55,1001001009
JKB ,B1   ,201809160250,77,1001001009
JKB ,B1   ,201809160251,60,1001001009
JKB ,B1   ,201809160252,40,1001001009
JKB ,B1   ,201809160253,48,1001001009
JKB ,B1   ,201809160254,67,1001001009
JKB ,B1   ,201809160255,52,1001001009
JKB ,B1   ,201809160256,54,1001001009
JKB ,B1   ,201809160257,29,1001001009
JKB ,B1   ,201809160258,51,1001001009
JKB ,B1   ,201809160259,39,1001001009
JKB ,B1   ,201809160300,52,1001001009
JKB ,B1   ,201809160301,71,1001001009
JKB ,B1   ,201809160302,45,1001001009
JKB ,B1   ,201809160303,41,1001001009
JKB ,B1   ,201809160304,36,1001001009
JKB ,B1   ,201809160305,35,1001001009
JKB ,B1   ,201809160306,54,1001001009
JKB ,B1   ,201809160307,60,1001001009
JKB ,B1   ,201809160308,69,1001001009
JKB ,B1   ,201809160309,41,1001001009
JKB ,B1   ,201809160310,71,1001001009
JKB ,B1   ,201809160311,48,1001001009
JKB ,B1   ,201809160312,50,1001001009
JKB ,B1   ,201809160313,70,1001001009
JKB ,B1   ,201809160314,52,1001001009
JKB ,B1   ,201809160315,51,1001001009
JKB ,B1   ,201809160316,71,1001001009
JKB ,B1   ,201809160317,37,1001001009
