CP1 ,B1   ,201809160219,81,1001001009
CP1 ,B1   ,201809160220,67,1001001009
CP1 ,B1   ,201809160221,80,1001001009
CP1 ,B1   ,201809160222,82,1001001009
CP1 ,B1   ,201809160223,53,1001001009
CP1 ,B1   ,201809160224,77,1001001009
CP1 ,B1   ,201809160225,93,1001001009
CP1 ,B1   ,201809160226,45,1001001009
CP1 ,B1   ,201809160227,38,1001001009
CP1 ,B1   ,201809160228,67,1001001009
CP1 ,B1   ,201809160229,42,1001001009
CP1 ,B1   ,201809160230,58,1001001009
CP1 ,B1   ,201809160231,87,1001001009
CP1 ,B1   ,201809160232,52,1001001009
CP1 ,B1   ,201809160233,74,1001001009
CP1 ,B1   ,201809160234,49,1001001009
CP1 ,B1   ,201809160235,54,1001001009
CP1 ,B1   ,201809160236,57,1001001009
CP1 ,B1   ,201809160237,54,1001001009
CP1 ,B1   ,201809160238,68,1001001009
CP1 ,B1   ,201809160239,63,1001001009
CP1 ,B1   ,201809160240,46,1001001009
CP1 ,B1   ,201809160241,46,1001001009
CP1 ,B1   ,201809160242,51,1001001009
CP1 ,B1   ,201809160243,52,1001001009
CP1 ,B1   ,201809160244,53,1001001009
CP1 ,B1   ,201809160245,46,1001001009
CP1 ,B1   ,201809160246,55,1001001009
CP1 ,B1   ,201809160247,75,1001001009
CP1 ,B1   ,201809160248,75,1001001009
CP1 ,B1   ,201809160249,53,1001001009
CP1 ,B1   ,201809160250,62,1001001009
CP1 ,B1   ,201809160251,44,1001001009
CP1 ,B1   ,201809160252,21,1001001009
CP1 ,B1   ,201809160253,32,1001001009
CP1 ,B1   ,201809160254,92,1001001009
CP1 ,B1   ,201809160255,89,1001001009
CP1 ,B1   ,201809160256,83,1001001009
CP1 ,B1   ,201809160257,84,1001001009
CP1 ,B1   ,201809160258,66,1001001009
CP1 ,B1   ,201809160259,54,1001001009
CP1 ,B1   ,201809160300,61,1001001009
CP1 ,B1   ,201809160301,64,1001001009
CP1 ,B1   ,201809160302,79,1001001009
CP1 ,B1   ,201809160303,116,1001001009
CP1 ,B1   ,201809160304,65,1001001009
CP1 ,B1   ,201809160305,44,1001001009
CP1 ,B1   ,201809160306,102,1001001009
CP1 ,B1   ,201809160307,86,1001001009
CP1 ,B1   ,201809160308,88,1001001009
CP1 ,B1   ,201809160309,68,1001001009
CP1 ,B1   ,201809160310,57,1001001009
CP1 ,B1   ,201809160311,42,1001001009
CP1 ,B1   ,201809160312,70,1001001009
CP1 ,B1   ,201809160313,69,1001001009
CP1 ,B1   ,201809160314,70,1001001009
CP1 ,B1   ,201809160315,72,1001001009
CP1 ,B1   ,201809160316,82,1001001009
CP1 ,B1   ,201809160317,55,1001001009
CP1 ,B1   ,201809160318,29,1001001009
CP1 ,B1   ,201809160319,36,1001001009
CP1 ,B1   ,201809160320,78,1001001009
CP1 ,B1   ,201809160321,60,1001001009
CP1 ,B1   ,201809160322,72,1001001009
CP1 ,B1   ,201809160323,61,1001001009
