CCH ,J1   ,201809160225,287,1101001009
CCH ,J1   ,201809160226,286,1101001009
CCH ,J1   ,201809160227,285,1101001009
CCH ,J1   ,201809160228,284,1101001009
CCH ,J1   ,201809160229,284,1101001009
CCH ,J1   ,201809160230,283,1101001009
CCH ,J1   ,201809160231,284,1101001009
CCH ,J1   ,201809160232,284,1101001009
CCH ,J1   ,201809160233,284,1101001009
CCH ,J1   ,201809160234,284,1101001009
CCH ,J1   ,201809160235,284,1101001009
CCH ,J1   ,201809160236,284,1101001009
CCH ,J1   ,201809160237,285,1101001009
CCH ,J1   ,201809160238,285,1101001009
CCH ,J1   ,201809160239,285,1101001009
CCH ,J1   ,201809160240,285,1101001009
CCH ,J1   ,201809160241,285,1101001009
CCH ,J1   ,201809160242,286,1101001009
CCH ,J1   ,201809160243,286,1101001009
CCH ,J1   ,201809160244,286,1101001009
CCH ,J1   ,201809160245,287,1101001009
CCH ,J1   ,201809160246,287,1101001009
CCH ,J1   ,201809160247,287,1101001009
CCH ,J1   ,201809160248,287,1101001009
CCH ,J1   ,201809160249,286,1101001009
CCH ,J1   ,201809160250,286,1101001009
CCH ,J1   ,201809160251,286,1101001009
CCH ,J1   ,201809160252,286,1101001009
CCH ,J1   ,201809160253,286,1101001009
CCH ,J1   ,201809160254,286,1101001009
CCH ,J1   ,201809160255,286,1101001009
CCH ,J1   ,201809160256,286,1101001009
CCH ,J1   ,201809160257,286,1101001009
CCH ,J1   ,201809160258,287,1101001009
CCH ,J1   ,201809160259,287,1101001009
CCH ,J1   ,201809160300,287,1101001009
CCH ,J1   ,201809160301,287,1101001009
CCH ,J1   ,201809160302,287,1101001009
CCH ,J1   ,201809160303,287,1101001009
CCH ,J1   ,201809160304,287,1101001009
CCH ,J1   ,201809160305,288,1101001009
CCH ,J1   ,201809160306,287,1101001009
CCH ,J1   ,201809160307,287,1101001009
CCH ,J1   ,201809160308,287,1101001009
CCH ,J1   ,201809160309,287,1101001009
CCH ,J1   ,201809160310,288,1101001009
CCH ,J1   ,201809160311,288,1101001009
CCH ,J1   ,201809160312,288,1101001009
CCH ,J1   ,201809160313,288,1101001009
CCH ,J1   ,201809160314,287,1101001009
CCH ,J1   ,201809160315,287,1101001009
CCH ,J1   ,201809160316,287,1101001009
CCH ,J1   ,201809160317,286,1101001009
CCH ,J1   ,201809160318,286,1101001009
CCH ,J1   ,201809160319,286,1101001009
CCH ,J1   ,201809160320,286,1101001009
CCH ,J1   ,201809160321,286,1101001009
CCH ,J1   ,201809160322,286,1101001009
CCH ,J1   ,201809160323,285,1101001009
CCH ,J1   ,201809160324,285,1101001009
CCH ,J1   ,201809160325,285,1101001009
CCH ,J1   ,201809160326,286,1101001009
CCH ,J1   ,201809160327,286,1101001009
CCH ,J1   ,201809160328,286,1101001009
CCH ,J1   ,201809160329,286,1101001009
CCH ,J1   ,201809160330,286,1101001009
CCH ,J1   ,201809160331,287,1101001009
CCH ,J1   ,201809160332,286,1101001009
CCH ,J1   ,201809160333,287,1101001009
CCH ,J1   ,201809160334,287,1101001009
CCH ,J1   ,201809160335,287,1101001009
CCH ,J1   ,201809160336,286,1101001009
CCH ,J1   ,201809160337,286,1101001009
CCH ,J1   ,201809160338,287,1101001009
CCH ,J1   ,201809160339,287,1101001009
CCH ,J1   ,201809160340,287,1101001009
CCH ,J1   ,201809160341,287,1101001009
CCH ,J1   ,201809160342,287,1101001009
CCH ,J1   ,201809160343,287,1101001009
CCH ,J1   ,201809160344,288,1101001009
CCH ,J1   ,201809160345,288,1101001009
CCH ,J1   ,201809160346,288,1101001009
CCH ,J1   ,201809160347,288,1101001009
CCH ,J1   ,201809160348,288,1101001009
CCH ,J1   ,201809160349,288,1101001009
CCH ,J1   ,201809160350,288,1101001009
CCH ,J1   ,201809160351,288,1101001009
