CWB ,B1   ,201809160227,134,1001001009
CWB ,B1   ,201809160228,162,1001001009
CWB ,B1   ,201809160229,122,1001001009
CWB ,B1   ,201809160230,168,1001001009
CWB ,B1   ,201809160231,143,1001001009
CWB ,B1   ,201809160232,156,1001001009
CWB ,B1   ,201809160233,157,1001001009
CWB ,B1   ,201809160234,177,1001001009
CWB ,B1   ,201809160235,140,1001001009
CWB ,B1   ,201809160236,153,1001001009
CWB ,B1   ,201809160237,,
CWB ,B1   ,201809160238,139,1001001009
CWB ,B1   ,201809160239,,
CWB ,B1   ,201809160240,108,1001001009
CWB ,B1   ,201809160241,133,1001001009
CWB ,B1   ,201809160242,145,1001001009
CWB ,B1   ,201809160243,144,1001001009
CWB ,B1   ,201809160244,122,1001001009
CWB ,B1   ,201809160245,114,1001001009
CWB ,B1   ,201809160246,132,1001001009
CWB ,B1   ,201809160247,132,1001001009
CWB ,B1   ,201809160248,132,1001001009
CWB ,B1   ,201809160249,162,1001001009
CWB ,B1   ,201809160250,152,1001001009
CWB ,B1   ,201809160251,189,1001001009
CWB ,B1   ,201809160252,144,1001001009
CWB ,B1   ,201809160253,132,1001001009
CWB ,B1   ,201809160254,148,1001001009
CWB ,B1   ,201809160255,133,1001001009
CWB ,B1   ,201809160256,135,1001001009
CWB ,B1   ,201809160257,128,1001001009
CWB ,B1   ,201809160258,157,1001001009
CWB ,B1   ,201809160259,126,1001001009
CWB ,B1   ,201809160300,136,1001001009
CWB ,B1   ,201809160301,153,1001001009
CWB ,B1   ,201809160302,148,1001001009
CWB ,B1   ,201809160303,104,1001001009
CWB ,B1   ,201809160304,120,1001001009
CWB ,B1   ,201809160305,182,1001001009
CWB ,B1   ,201809160306,129,1001001009
CWB ,B1   ,201809160307,175,1001001009
CWB ,B1   ,201809160308,121,1001001009
CWB ,B1   ,201809160309,103,1001001009
CWB ,B1   ,201809160310,140,1001001009
CWB ,B1   ,201809160311,127,1001001009
CWB ,B1   ,201809160312,132,1001001009
CWB ,B1   ,201809160313,147,1001001009
CWB ,B1   ,201809160314,156,1001001009
CWB ,B1   ,201809160315,178,1001001009
CWB ,B1   ,201809160316,128,1001001009
CWB ,B1   ,201809160317,161,1001001009
CWB ,B1   ,201809160318,157,1001001009
CWB ,B1   ,201809160319,135,1001001009
CWB ,B1   ,201809160320,147,1001001009
CWB ,B1   ,201809160321,135,1001001009
CWB ,B1   ,201809160322,124,1001001009
CWB ,B1   ,201809160323,95,1001001009
CWB ,B1   ,201809160324,86,1001001009
CWB ,B1   ,201809160325,152,1001001009
CWB ,B1   ,201809160326,128,1001001009
CWB ,B1   ,201809160327,107,1001001009
CWB ,B1   ,201809160328,126,1001001009
CWB ,B1   ,201809160329,108,1001001009
CWB ,B1   ,201809160330,149,1001001009
CWB ,B1   ,201809160331,117,1001001009
CWB ,B1   ,201809160332,149,1001001009
CWB ,B1   ,201809160333,128,1001001009
CWB ,B1   ,201809160334,120,1001001009
CWB ,B1   ,201809160335,123,1001001009
CWB ,B1   ,201809160336,146,1001001009
CWB ,B1   ,201809160337,140,1001001009
CWB ,B1   ,201809160338,138,1001001009
CWB ,B1   ,201809160339,138,1001001009
CWB ,B1   ,201809160340,145,1001001009
CWB ,B1   ,201809160341,106,1001001009
CWB ,B1   ,201809160342,127,1001001009
CWB ,B1   ,201809160343,120,1001001009
CWB ,B1   ,201809160344,110,1001001009
CWB ,B1   ,201809160345,148,1001001009
CWB ,B1   ,201809160346,156,1001001009
CWB ,B1   ,201809160347,176,1001001009
CWB ,B1   ,201809160348,128,1001001009
CWB ,B1   ,201809160349,108,1001001009
CWB ,B1   ,201809160350,162,1001001009
CWB ,B1   ,201809160351,147,1001001009
CWB ,B1   ,201809160352,131,1001001009
CWB ,B1   ,201809160353,119,1001001009
CWB ,B1   ,201809160354,156,1001001009
CWB ,B1   ,201809160355,125,1001001009
CWB ,B1   ,201809160356,149,1001001009
CWB ,B1   ,201809160357,142,1001001009
CWB ,B1   ,201809160358,165,1001001009
CWB ,B1   ,201809160359,157,1001001009
CWB ,B1   ,201809160400,171,1001001009
CWB ,B1   ,201809160401,174,1001001009
