BHD ,B1   ,201809160225,50,1001001009
BHD ,B1   ,201809160226,53,1001001009
BHD ,B1   ,201809160227,32,1001001009
BHD ,B1   ,201809160228,41,1001001009
BHD ,B1   ,201809160229,51,1001001009
BHD ,B1   ,201809160230,75,1001001009
BHD ,B1   ,201809160231,54,1001001009
BHD ,B1   ,201809160232,38,1001001009
BHD ,B1   ,201809160233,45,1001001009
BHD ,B1   ,201809160234,79,1001001009
BHD ,B1   ,201809160235,74,1001001009
BHD ,B1   ,201809160236,92,1001001009
BHD ,B1   ,201809160237,68,1001001009
BHD ,B1   ,201809160238,63,1001001009
BHD ,B1   ,201809160239,81,1001001009
BHD ,B1   ,201809160240,59,1001001009
BHD ,B1   ,201809160241,45,1001001009
BHD ,B1   ,201809160242,43,1001001009
BHD ,B1   ,201809160243,40,1001001009
BHD ,B1   ,201809160244,44,1001001009
BHD ,B1   ,201809160245,77,1001001009
BHD ,B1   ,201809160246,45,1001001009
BHD ,B1   ,201809160247,46,1001001009
BHD ,B1   ,201809160248,31,1001001009
BHD ,B1   ,201809160249,45,1001001009
BHD ,B1   ,201809160250,61,1001001009
BHD ,B1   ,201809160251,48,1001001009
BHD ,B1   ,201809160252,34,1001001009
BHD ,B1   ,201809160253,62,1001001009
BHD ,B1   ,201809160254,56,1001001009
BHD ,B1   ,201809160255,51,1001001009
BHD ,B1   ,201809160256,25,1001001009
BHD ,B1   ,201809160257,35,1001001009
BHD ,B1   ,201809160258,57,1001001009
BHD ,B1   ,201809160259,35,1001001009
BHD ,B1   ,201809160300,38,1001001009
BHD ,B1   ,201809160301,61,1001001009
BHD ,B1   ,201809160302,68,1001001009
BHD ,B1   ,201809160303,47,1001001009
BHD ,B1   ,201809160304,41,1001001009
BHD ,B1   ,201809160305,30,1001001009
BHD ,B1   ,201809160306,47,1001001009
BHD ,B1   ,201809160307,61,1001001009
BHD ,B1   ,201809160308,41,1001001009
BHD ,B1   ,201809160309,34,1001001009
BHD ,B1   ,201809160310,37,1001001009
BHD ,B1   ,201809160311,49,1001001009
BHD ,B1   ,201809160312,33,1001001009
BHD ,B1   ,201809160313,46,1001001009
BHD ,B1   ,201809160314,53,1001001009
BHD ,B1   ,201809160315,34,1001001009
BHD ,B1   ,201809160316,61,1001001009
BHD ,B1   ,201809160317,31,1001001009
BHD ,B1   ,201809160318,56,1001001009
BHD ,B1   ,201809160319,46,1001001009
BHD ,B1   ,201809160320,50,1001001009
BHD ,B1   ,201809160321,43,1001001009
BHD ,B1   ,201809160322,45,1001001009
BHD ,B1   ,201809160323,39,1001001009
BHD ,B1   ,201809160324,26,1001001009
BHD ,B1   ,201809160325,47,1001001009
BHD ,B1   ,201809160326,53,1001001009
BHD ,B1   ,201809160327,43,1001001009
BHD ,B1   ,201809160328,34,1001001009
BHD ,B1   ,201809160329,47,1001001009
BHD ,B1   ,201809160330,43,1001001009
BHD ,B1   ,201809160331,53,1001001009
BHD ,B1   ,201809160332,40,1001001009
BHD ,B1   ,201809160333,52,1001001009
BHD ,B1   ,201809160334,54,1001001009
BHD ,B1   ,201809160335,51,1001001009
BHD ,B1   ,201809160336,37,1001001009
BHD ,B1   ,201809160337,45,1001001009
BHD ,B1   ,201809160338,41,1001001009
BHD ,B1   ,201809160339,54,1001001009
BHD ,B1   ,201809160340,63,1001001009
BHD ,B1   ,201809160341,44,1001001009
BHD ,B1   ,201809160342,39,1001001009
BHD ,B1   ,201809160343,35,1001001009
BHD ,B1   ,201809160344,41,1001001009
BHD ,B1   ,201809160345,56,1001001009
BHD ,B1   ,201809160346,54,1001001009
BHD ,B1   ,201809160347,51,1001001009
BHD ,B1   ,201809160348,62,1001001009
BHD ,B1   ,201809160349,52,1001001009
BHD ,B1   ,201809160350,56,1001001009
BHD ,B1   ,201809160351,78,1001001009
BHD ,B1   ,201809160352,58,1001001009
BHD ,B1   ,201809160353,42,1001001009
BHD ,B1   ,201809160354,26,1001001009
BHD ,B1   ,201809160355,46,1001001009
BHD ,B1   ,201809160356,41,1001001009
BHD ,B1   ,201809160357,44,1001001009
BHD ,B1   ,201809160358,27,1001001009
BHD ,B1   ,201809160359,45,1001001009
BHD ,B1   ,201809160400,46,1001001009
BHD ,B1   ,201809160401,64,1001001009
BHD ,B1   ,201809160402,60,1001001009
BHD ,B1   ,201809160403,32,1001001009
BHD ,B1   ,201809160404,34,1001001009
BHD ,B1   ,201809160405,54,1001001009
BHD ,B1   ,201809160406,37,1001001009
BHD ,B1   ,201809160407,46,1001001009
BHD ,B1   ,201809160408,64,1001001009
BHD ,B1   ,201809160409,55,1001001009
BHD ,B1   ,201809160410,42,1001001009
BHD ,B1   ,201809160411,57,1001001009
BHD ,B1   ,201809160412,74,1001001009
BHD ,B1   ,201809160413,57,1001001009
BHD ,B1   ,201809160414,48,1001001009
BHD ,B1   ,201809160415,41,1001001009
BHD ,B1   ,201809160416,63,1001001009
BHD ,B1   ,201809160417,50,1001001009
BHD ,B1   ,201809160418,36,1001001009
BHD ,B1   ,201809160419,47,1001001009
BHD ,B1   ,201809160420,53,1001001009
BHD ,B1   ,201809160421,77,1001001009
BHD ,B1   ,201809160422,44,1001001009
BHD ,B1   ,201809160423,43,1001001009
BHD ,B1   ,201809160424,46,1001001009
BHD ,B1   ,201809160425,42,1001001009
BHD ,B1   ,201809160426,51,1001001009
BHD ,B1   ,201809160427,27,1001001009
BHD ,B1   ,201809160428,41,1001001009
BHD ,B1   ,201809160429,39,1001001009
BHD ,B1   ,201809160430,53,1001001009
BHD ,B1   ,201809160431,34,1001001009
BHD ,B1   ,201809160432,31,1001001009
BHD ,B1   ,201809160433,70,1001001009
BHD ,B1   ,201809160434,67,1001001009
BHD ,B1   ,201809160435,62,1001001009
BHD ,B1   ,201809160436,67,1001001009
BHD ,B1   ,201809160437,44,1001001009
BHD ,B1   ,201809160438,49,1001001009
BHD ,B1   ,201809160439,43,1001001009
BHD ,B1   ,201809160440,52,1001001009
BHD ,B1   ,201809160441,47,1001001009
BHD ,B1   ,201809160442,49,1001001009
BHD ,B1   ,201809160443,42,1001001009
BHD ,B1   ,201809160444,57,1001001009
BHD ,B1   ,201809160445,47,1001001009
BHD ,B1   ,201809160446,32,1001001009
BHD ,B1   ,201809160447,35,1001001009
BHD ,B1   ,201809160448,29,1001001009
BHD ,B1   ,201809160449,40,1001001009
BHD ,B1   ,201809160450,41,1001001009
BHD ,B1   ,201809160451,33,1001001009
BHD ,B1   ,201809160452,27,1001001009
BHD ,B1   ,201809160453,54,1001001009
BHD ,B1   ,201809160454,61,1001001009
BHD ,B1   ,201809160455,53,1001001009
BHD ,B1   ,201809160456,24,1001001009
BHD ,B1   ,201809160457,45,1001001009
BHD ,B1   ,201809160458,26,1001001009
BHD ,B1   ,201809160459,56,1001001009
BHD ,B1   ,201809160500,54,1001001009
BHD ,B1   ,201809160501,64,1001001009
BHD ,B1   ,201809160502,29,1001001009
BHD ,B1   ,201809160503,41,1001001009
BHD ,B1   ,201809160504,51,1001001009
BHD ,B1   ,201809160505,52,1001001009
BHD ,B1   ,201809160506,45,1001001009
BHD ,B1   ,201809160507,46,1001001009
BHD ,B1   ,201809160508,34,1001001009
BHD ,B1   ,201809160509,26,1001001009
BHD ,B1   ,201809160510,46,1001001009
BHD ,B1   ,201809160511,47,1001001009
BHD ,B1   ,201809160512,59,1001001009
BHD ,B1   ,201809160513,64,1001001009
BHD ,B1   ,201809160514,39,1001001009
BHD ,B1   ,201809160515,59,1001001009
BHD ,B1   ,201809160516,50,1001001009
BHD ,B1   ,201809160517,52,1001001009
BHD ,B1   ,201809160518,56,1001001009
BHD ,B1   ,201809160519,40,1001001009
BHD ,B1   ,201809160520,39,1001001009
BHD ,B1   ,201809160521,20,1001001009
BHD ,B1   ,201809160522,39,1001001009
BHD ,B1   ,201809160523,53,1001001009
BHD ,B1   ,201809160524,56,1001001009
BHD ,B1   ,201809160525,33,1001001009
BHD ,B1   ,201809160526,40,1001001009
BHD ,B1   ,201809160527,43,1001001009
BHD ,B1   ,201809160528,57,1001001009
BHD ,B1   ,201809160529,58,1001001009
BHD ,B1   ,201809160530,48,1001001009
BHD ,B1   ,201809160531,39,1001001009
BHD ,B1   ,201809160532,36,1001001009
BHD ,B1   ,201809160533,24,1001001009
BHD ,B1   ,201809160534,44,1001001009
BHD ,B1   ,201809160535,59,1001001009
BHD ,B1   ,201809160536,50,1001001009
BHD ,B1   ,201809160537,57,1001001009
BHD ,B1   ,201809160538,46,1001001009
BHD ,B1   ,201809160539,60,1001001009
BHD ,B1   ,201809160540,79,1001001009
BHD ,B1   ,201809160541,58,1001001009
BHD ,B1   ,201809160542,48,1001001009
BHD ,B1   ,201809160543,62,1001001009
BHD ,B1   ,201809160544,58,1001001009
BHD ,B1   ,201809160545,50,1001001009
BHD ,B1   ,201809160546,65,1001001009
BHD ,B1   ,201809160547,71,1001001009
BHD ,B1   ,201809160548,64,1001001009
BHD ,B1   ,201809160549,64,1001001009
BHD ,B1   ,201809160550,62,1001001009
BHD ,B1   ,201809160551,48,1001001009
BHD ,B1   ,201809160552,63,1001001009
BHD ,B1   ,201809160553,62,1001001009
BHD ,B1   ,201809160554,61,1001001009
BHD ,B1   ,201809160555,70,1001001009
BHD ,B1   ,201809160556,79,1001001009
BHD ,B1   ,201809160557,73,1001001009
BHD ,B1   ,201809160558,45,1001001009
BHD ,B1   ,201809160559,65,1001001009
BHD ,B1   ,201809160600,65,1001001009
BHD ,B1   ,201809160601,68,1001001009
BHD ,B1   ,201809160602,73,1001001009
BHD ,B1   ,201809160603,78,1001001009
BHD ,B1   ,201809160604,53,1001001009
BHD ,B1   ,201809160605,76,1001001009
BHD ,B1   ,201809160606,69,1001001009
BHD ,B1   ,201809160607,69,1001001009
BHD ,B1   ,201809160608,88,1001001009
BHD ,B1   ,201809160609,61,1001001009
BHD ,B1   ,201809160610,53,1001001009
BHD ,B1   ,201809160611,71,1001001009
BHD ,B1   ,201809160612,67,1001001009
BHD ,B1   ,201809160613,73,1001001009
BHD ,B1   ,201809160614,81,1001001009
BHD ,B1   ,201809160615,56,1001001009
BHD ,B1   ,201809160616,49,1001001009
BHD ,B1   ,201809160617,85,1001001009
BHD ,B1   ,201809160618,51,1001001009
BHD ,B1   ,201809160619,42,1001001009
BHD ,B1   ,201809160620,31,1001001009
BHD ,B1   ,201809160621,69,1001001009
BHD ,B1   ,201809160622,49,1001001009
BHD ,B1   ,201809160623,43,1001001009
BHD ,B1   ,201809160624,56,1001001009
BHD ,B1   ,201809160625,47,1001001009
BHD ,B1   ,201809160626,45,1001001009
BHD ,B1   ,201809160627,69,1001001009
BHD ,B1   ,201809160628,71,1001001009
BHD ,B1   ,201809160629,64,1001001009
BHD ,B1   ,201809160630,79,1001001009
BHD ,B1   ,201809160631,76,1001001009
BHD ,B1   ,201809160632,77,1001001009
BHD ,B1   ,201809160633,72,1001001009
BHD ,B1   ,201809160634,72,1001001009
BHD ,B1   ,201809160635,70,1001001009
BHD ,B1   ,201809160636,36,1001001009
BHD ,B1   ,201809160637,87,1001001009
BHD ,B1   ,201809160638,65,1001001009
BHD ,B1   ,201809160639,74,1001001009
BHD ,B1   ,201809160640,66,1001001009
BHD ,B1   ,201809160641,57,1001001009
BHD ,B1   ,201809160642,60,1001001009
BHD ,B1   ,201809160643,76,1001001009
BHD ,B1   ,201809160644,67,1001001009
BHD ,B1   ,201809160645,58,1001001009
BHD ,B1   ,201809160646,72,1001001009
BHD ,B1   ,201809160647,53,1001001009
BHD ,B1   ,201809160648,79,1001001009
BHD ,B1   ,201809160649,38,1001001009
BHD ,B1   ,201809160650,52,1001001009
BHD ,B1   ,201809160651,69,1001001009
BHD ,B1   ,201809160652,80,1001001009
BHD ,B1   ,201809160653,80,1001001009
BHD ,B1   ,201809160654,74,1001001009
BHD ,B1   ,201809160655,77,1001001009
BHD ,B1   ,201809160656,62,1001001009
BHD ,B1   ,201809160657,59,1001001009
BHD ,B1   ,201809160658,56,1001001009
BHD ,B1   ,201809160659,75,1001001009
BHD ,B1   ,201809160700,78,1001001009
BHD ,B1   ,201809160701,73,1001001009
BHD ,B1   ,201809160702,90,1001001009
BHD ,B1   ,201809160703,74,1001001009
BHD ,B1   ,201809160704,54,1001001009
BHD ,B1   ,201809160705,81,1001001009
BHD ,B1   ,201809160706,48,1001001009
BHD ,B1   ,201809160707,75,1001001009
BHD ,B1   ,201809160708,69,1001001009
BHD ,B1   ,201809160709,66,1001001009
BHD ,B1   ,201809160710,69,1001001009
BHD ,B1   ,201809160711,73,1001001009
BHD ,B1   ,201809160712,88,1001001009
BHD ,B1   ,201809160713,60,1001001009
BHD ,B1   ,201809160714,49,1001001009
BHD ,B1   ,201809160715,58,1001001009
BHD ,B1   ,201809160716,81,1001001009
BHD ,B1   ,201809160717,35,1001001009
BHD ,B1   ,201809160718,59,1001001009
BHD ,B1   ,201809160719,85,1001001009
BHD ,B1   ,201809160720,61,1001001009
BHD ,B1   ,201809160721,49,1001001009
BHD ,B1   ,201809160722,39,1001001009
BHD ,B1   ,201809160723,61,1001001009
BHD ,B1   ,201809160724,40,1001001009
BHD ,B1   ,201809160725,38,1001001009
BHD ,B1   ,201809160726,33,1001001009
BHD ,B1   ,201809160727,83,1001001009
BHD ,B1   ,201809160728,63,1001001009
BHD ,B1   ,201809160729,57,1001001009
BHD ,B1   ,201809160730,64,1001001009
BHD ,B1   ,201809160731,40,1001001009
BHD ,B1   ,201809160732,63,1001001009
BHD ,B1   ,201809160733,64,1001001009
BHD ,B1   ,201809160734,36,1001001009
BHD ,B1   ,201809160735,55,1001001009
BHD ,B1   ,201809160736,51,1001001009
BHD ,B1   ,201809160737,54,1001001009
BHD ,B1   ,201809160738,44,1001001009
BHD ,B1   ,201809160739,48,1001001009
BHD ,B1   ,201809160740,78,1001001009
BHD ,B1   ,201809160741,58,1001001009
BHD ,B1   ,201809160742,65,1001001009
BHD ,B1   ,201809160743,75,1001001009
BHD ,B1   ,201809160744,54,1001001009
BHD ,B1   ,201809160745,54,1001001009
BHD ,B1   ,201809160746,81,1001001009
BHD ,B1   ,201809160747,69,1001001009
BHD ,B1   ,201809160748,44,1001001009
BHD ,B1   ,201809160749,74,1001001009
BHD ,B1   ,201809160750,69,1001001009
BHD ,B1   ,201809160751,52,1001001009
BHD ,B1   ,201809160752,45,1001001009
BHD ,B1   ,201809160753,57,1001001009
BHD ,B1   ,201809160754,59,1001001009
BHD ,B1   ,201809160755,77,1001001009
BHD ,B1   ,201809160756,32,1001001009
BHD ,B1   ,201809160757,47,1001001009
BHD ,B1   ,201809160758,88,1001001009
BHD ,B1   ,201809160759,83,1001001009
BHD ,B1   ,201809160800,62,1001001009
BHD ,B1   ,201809160801,69,1001001009
BHD ,B1   ,201809160802,95,1001001009
BHD ,B1   ,201809160803,83,1001001009
BHD ,B1   ,201809160804,86,1001001009
BHD ,B1   ,201809160805,77,1001001009
BHD ,B1   ,201809160806,98,1001001009
BHD ,B1   ,201809160807,63,1001001009
BHD ,B1   ,201809160808,100,1001001009
BHD ,B1   ,201809160809,112,1001001009
BHD ,B1   ,201809160810,88,1001001009
BHD ,B1   ,201809160811,121,1001001009
BHD ,B1   ,201809160812,103,1001001009
BHD ,B1   ,201809160813,68,1001001009
BHD ,B1   ,201809160814,88,1001001009
BHD ,B1   ,201809160815,86,1001001009
BHD ,B1   ,201809160816,103,1001001009
BHD ,B1   ,201809160817,110,1001001009
BHD ,B1   ,201809160818,98,1001001009
BHD ,B1   ,201809160819,120,1001001009
BHD ,B1   ,201809160820,117,1001001009
BHD ,B1   ,201809160821,89,1001001009
BHD ,B1   ,201809160822,115,1001001009
BHD ,B1   ,201809160823,103,1001001009
BHD ,B1   ,201809160824,128,1001001009
BHD ,B1   ,201809160825,77,1001001009
BHD ,B1   ,201809160826,69,1001001009
BHD ,B1   ,201809160827,121,1001001009
BHD ,B1   ,201809160828,88,1001001009
BHD ,B1   ,201809160829,129,1001001009
BHD ,B1   ,201809160830,89,1001001009
BHD ,B1   ,201809160831,103,1001001009
BHD ,B1   ,201809160832,108,1001001009
BHD ,B1   ,201809160833,124,1001001009
BHD ,B1   ,201809160834,51,1001001009
BHD ,B1   ,201809160835,72,1001001009
BHD ,B1   ,201809160836,39,1001001009
BHD ,B1   ,201809160837,87,1001001009
BHD ,B1   ,201809160838,93,1001001009
BHD ,B1   ,201809160839,69,1001001009
BHD ,B1   ,201809160840,92,1001001009
BHD ,B1   ,201809160841,82,1001001009
BHD ,B1   ,201809160842,82,1001001009
BHD ,B1   ,201809160843,73,1001001009
BHD ,B1   ,201809160844,83,1001001009
BHD ,B1   ,201809160845,88,1001001009
BHD ,B1   ,201809160846,124,1001001009
BHD ,B1   ,201809160847,118,1001001009
BHD ,B1   ,201809160848,96,1001001009
BHD ,B1   ,201809160849,121,1001001009
BHD ,B1   ,201809160850,110,1001001009
BHD ,B1   ,201809160851,91,1001001009
BHD ,B1   ,201809160852,84,1001001009
BHD ,B1   ,201809160853,137,1001001009
BHD ,B1   ,201809160854,100,1001001009
BHD ,B1   ,201809160855,134,1001001009
BHD ,B1   ,201809160856,155,1001001009
BHD ,B1   ,201809160857,146,1001001009
BHD ,B1   ,201809160858,141,1001001009
BHD ,B1   ,201809160859,97,1001001009
BHD ,B1   ,201809160900,102,1001001009
BHD ,B1   ,201809160901,147,1001001009
BHD ,B1   ,201809160902,111,1001001009
BHD ,B1   ,201809160903,103,1001001009
BHD ,B1   ,201809160904,129,1001001009
BHD ,B1   ,201809160905,118,1001001009
BHD ,B1   ,201809160906,141,1001001009
BHD ,B1   ,201809160907,146,1001001009
BHD ,B1   ,201809160908,125,1001001009
BHD ,B1   ,201809160909,144,1001001009
BHD ,B1   ,201809160910,144,1001001009
BHD ,B1   ,201809160911,141,1001001009
BHD ,B1   ,201809160912,110,1001001009
BHD ,B1   ,201809160913,163,1001001009
BHD ,B1   ,201809160914,114,1001001009
BHD ,B1   ,201809160915,145,1001001009
BHD ,B1   ,201809160916,130,1001001009
BHD ,B1   ,201809160917,131,1001001009
BHD ,B1   ,201809160918,164,1001001009
BHD ,B1   ,201809160919,134,1001001009
BHD ,B1   ,201809160920,137,1001001009
BHD ,B1   ,201809160921,142,1001001009
BHD ,B1   ,201809160922,144,1001001009
BHD ,B1   ,201809160923,124,1001001009
BHD ,B1   ,201809160924,137,1001001009
BHD ,B1   ,201809160925,134,1001001009
BHD ,B1   ,201809160926,114,1001001009
BHD ,B1   ,201809160927,155,1001001009
BHD ,B1   ,201809160928,123,1001001009
BHD ,B1   ,201809160929,139,1001001009
BHD ,B1   ,201809160930,117,1001001009
BHD ,B1   ,201809160931,150,1001001009
BHD ,B1   ,201809160932,137,1001001009
BHD ,B1   ,201809160933,144,1001001009
BHD ,B1   ,201809160934,125,1001001009
BHD ,B1   ,201809160935,105,1001001009
BHD ,B1   ,201809160936,124,1001001009
BHD ,B1   ,201809160937,117,1001001009
