NP  ,B1   ,201809160225,86,1001001009
NP  ,B1   ,201809160226,111,1001001009
NP  ,B1   ,201809160227,114,1001001009
NP  ,B1   ,201809160228,116,1001001009
NP  ,B1   ,201809160229,104,1001001009
NP  ,B1   ,201809160230,65,1001001009
NP  ,B1   ,201809160231,106,1001001009
NP  ,B1   ,201809160232,82,1001001009
NP  ,B1   ,201809160233,118,1001001009
NP  ,B1   ,201809160234,111,1001001009
NP  ,B1   ,201809160235,119,1001001009
NP  ,B1   ,201809160236,105,1001001009
NP  ,B1   ,201809160237,128,1001001009
NP  ,B1   ,201809160238,77,1001001009
NP  ,B1   ,201809160239,104,1001001009
NP  ,B1   ,201809160240,81,1001001009
NP  ,B1   ,201809160241,70,1001001009
NP  ,B1   ,201809160242,71,1001001009
NP  ,B1   ,201809160243,114,1001001009
NP  ,B1   ,201809160244,85,1001001009
NP  ,B1   ,201809160245,91,1001001009
NP  ,B1   ,201809160246,97,1001001009
NP  ,B1   ,201809160247,99,1001001009
NP  ,B1   ,201809160248,117,1001001009
NP  ,B1   ,201809160249,128,1001001009
NP  ,B1   ,201809160250,93,1001001009
NP  ,B1   ,201809160251,92,1001001009
NP  ,B1   ,201809160252,94,1001001009
NP  ,B1   ,201809160253,96,1001001009
NP  ,B1   ,201809160254,97,1001001009
NP  ,B1   ,201809160255,88,1001001009
NP  ,B1   ,201809160256,112,1001001009
NP  ,B1   ,201809160257,81,1001001009
NP  ,B1   ,201809160258,105,1001001009
NP  ,B1   ,201809160259,103,1001001009
NP  ,B1   ,201809160300,85,1001001009
NP  ,B1   ,201809160301,103,1001001009
NP  ,B1   ,201809160302,100,1001001009
NP  ,B1   ,201809160303,109,1001001009
NP  ,B1   ,201809160304,99,1001001009
NP  ,B1   ,201809160305,88,1001001009
NP  ,B1   ,201809160306,96,1001001009
NP  ,B1   ,201809160307,89,1001001009
NP  ,B1   ,201809160308,96,1001001009
NP  ,B1   ,201809160309,76,1001001009
NP  ,B1   ,201809160310,84,1001001009
NP  ,B1   ,201809160311,128,1001001009
NP  ,B1   ,201809160312,95,1001001009
NP  ,B1   ,201809160313,116,1001001009
NP  ,B1   ,201809160314,106,1001001009
NP  ,B1   ,201809160315,104,1001001009
NP  ,B1   ,201809160316,83,1001001009
NP  ,B1   ,201809160317,105,1001001009
NP  ,B1   ,201809160318,123,1001001009
NP  ,B1   ,201809160319,106,1001001009
NP  ,B1   ,201809160320,107,1001001009
NP  ,B1   ,201809160321,89,1001001009
NP  ,B1   ,201809160322,98,1001001009
NP  ,B1   ,201809160323,104,1001001009
NP  ,B1   ,201809160324,94,1001001009
NP  ,B1   ,201809160325,85,1001001009
NP  ,B1   ,201809160326,118,1001001009
NP  ,B1   ,201809160327,100,1001001009
NP  ,B1   ,201809160328,104,1001001009
NP  ,B1   ,201809160329,91,1001001009
NP  ,B1   ,201809160330,81,1001001009
NP  ,B1   ,201809160331,77,1001001009
NP  ,B1   ,201809160332,100,1001001009
NP  ,B1   ,201809160333,91,1001001009
NP  ,B1   ,201809160334,83,1001001009
NP  ,B1   ,201809160335,88,1001001009
NP  ,B1   ,201809160336,87,1001001009
NP  ,B1   ,201809160337,101,1001001009
NP  ,B1   ,201809160338,106,1001001009
NP  ,B1   ,201809160339,100,1001001009
NP  ,B1   ,201809160340,94,1001001009
NP  ,B1   ,201809160341,90,1001001009
