SHW ,B1   ,201809160225,64,1001001009
SHW ,B1   ,201809160226,67,1001001009
SHW ,B1   ,201809160227,76,1001001009
SHW ,B1   ,201809160228,84,1001001009
SHW ,B1   ,201809160229,85,1001001009
SHW ,B1   ,201809160230,97,1001001009
SHW ,B1   ,201809160231,66,1001001009
SHW ,B1   ,201809160232,65,1001001009
SHW ,B1   ,201809160233,63,1001001009
SHW ,B1   ,201809160234,83,1001001009
SHW ,B1   ,201809160235,99,1001001009
SHW ,B1   ,201809160236,88,1001001009
SHW ,B1   ,201809160237,73,1001001009
SHW ,B1   ,201809160238,75,1001001009
SHW ,B1   ,201809160239,65,1001001009
SHW ,B1   ,201809160240,72,1001001009
SHW ,B1   ,201809160241,96,1001001009
SHW ,B1   ,201809160242,82,1001001009
SHW ,B1   ,201809160243,104,1001001009
SHW ,B1   ,201809160244,83,1001001009
SHW ,B1   ,201809160245,73,1001001009
SHW ,B1   ,201809160246,46,1001001009
SHW ,B1   ,201809160247,73,1001001009
SHW ,B1   ,201809160248,91,1001001009
SHW ,B1   ,201809160249,93,1001001009
SHW ,B1   ,201809160250,71,1001001009
SHW ,B1   ,201809160251,70,1001001009
SHW ,B1   ,201809160252,70,1001001009
SHW ,B1   ,201809160253,62,1001001009
SHW ,B1   ,201809160254,57,1001001009
SHW ,B1   ,201809160255,67,1001001009
SHW ,B1   ,201809160256,58,1001001009
SHW ,B1   ,201809160257,53,1001001009
SHW ,B1   ,201809160258,41,1001001009
SHW ,B1   ,201809160259,43,1001001009
SHW ,B1   ,201809160300,48,1001001009
SHW ,B1   ,201809160301,66,1001001009
SHW ,B1   ,201809160302,70,1001001009
SHW ,B1   ,201809160303,56,1001001009
SHW ,B1   ,201809160304,65,1001001009
SHW ,B1   ,201809160305,74,1001001009
SHW ,B1   ,201809160306,64,1001001009
SHW ,B1   ,201809160307,70,1001001009
SHW ,B1   ,201809160308,61,1001001009
SHW ,B1   ,201809160309,50,1001001009
SHW ,B1   ,201809160310,56,1001001009
SHW ,B1   ,201809160311,52,1001001009
SHW ,B1   ,201809160312,57,1001001009
SHW ,B1   ,201809160313,53,1001001009
SHW ,B1   ,201809160314,54,1001001009
SHW ,B1   ,201809160315,56,1001001009
SHW ,B1   ,201809160316,60,1001001009
SHW ,B1   ,201809160317,43,1001001009
SHW ,B1   ,201809160318,55,1001001009
