TKL ,B1   ,201809160225,69,1001001009
TKL ,B1   ,201809160226,70,1001001009
TKL ,B1   ,201809160227,53,1001001009
TKL ,B1   ,201809160228,45,1001001009
TKL ,B1   ,201809160229,60,1001001009
TKL ,B1   ,201809160230,53,1001001009
TKL ,B1   ,201809160231,56,1001001009
TKL ,B1   ,201809160232,54,1001001009
TKL ,B1   ,201809160233,33,1001001009
TKL ,B1   ,201809160234,57,1001001009
TKL ,B1   ,201809160235,79,1001001009
TKL ,B1   ,201809160236,69,1001001009
TKL ,B1   ,201809160237,71,1001001009
TKL ,B1   ,201809160238,59,1001001009
TKL ,B1   ,201809160239,56,1001001009
TKL ,B1   ,201809160240,83,1001001009
TKL ,B1   ,201809160241,72,1001001009
TKL ,B1   ,201809160242,66,1001001009
TKL ,B1   ,201809160243,77,1001001009
TKL ,B1   ,201809160244,74,1001001009
TKL ,B1   ,201809160245,54,1001001009
TKL ,B1   ,201809160246,77,1001001009
TKL ,B1   ,201809160247,89,1001001009
TKL ,B1   ,201809160248,58,1001001009
TKL ,B1   ,201809160249,57,1001001009
TKL ,B1   ,201809160250,54,1001001009
TKL ,B1   ,201809160251,68,1001001009
TKL ,B1   ,201809160252,60,1001001009
TKL ,B1   ,201809160253,62,1001001009
TKL ,B1   ,201809160254,80,1001001009
TKL ,B1   ,201809160255,66,1001001009
TKL ,B1   ,201809160256,53,1001001009
TKL ,B1   ,201809160257,49,1001001009
TKL ,B1   ,201809160258,83,1001001009
TKL ,B1   ,201809160259,80,1001001009
TKL ,B1   ,201809160300,57,1001001009
TKL ,B1   ,201809160301,56,1001001009
TKL ,B1   ,201809160302,83,1001001009
TKL ,B1   ,201809160303,79,1001001009
TKL ,B1   ,201809160304,70,1001001009
TKL ,B1   ,201809160305,68,1001001009
TKL ,B1   ,201809160306,76,1001001009
TKL ,B1   ,201809160307,86,1001001009
TKL ,B1   ,201809160308,73,1001001009
TKL ,B1   ,201809160309,61,1001001009
TKL ,B1   ,201809160310,62,1001001009
TKL ,B1   ,201809160311,61,1001001009
TKL ,B1   ,201809160312,66,1001001009
TKL ,B1   ,201809160313,78,1001001009
TKL ,B1   ,201809160314,67,1001001009
TKL ,B1   ,201809160315,77,1001001009
TKL ,B1   ,201809160316,51,1001001009
TKL ,B1   ,201809160317,58,1001001009
TKL ,B1   ,201809160318,60,1001001009
TKL ,B1   ,201809160319,51,1001001009
TKL ,B1   ,201809160320,60,1001001009
TKL ,B1   ,201809160321,38,1001001009
TKL ,B1   ,201809160322,48,1001001009
TKL ,B1   ,201809160323,57,1001001009
TKL ,B1   ,201809160324,52,1001001009
TKL ,B1   ,201809160325,66,1001001009
TKL ,B1   ,201809160326,61,1001001009
TKL ,B1   ,201809160327,52,1001001009
TKL ,B1   ,201809160328,62,1001001009
TKL ,B1   ,201809160329,51,1001001009
TKL ,B1   ,201809160330,77,1001001009
TKL ,B1   ,201809160331,59,1001001009
TKL ,B1   ,201809160332,50,1001001009
TKL ,B1   ,201809160333,64,1001001009
TKL ,B1   ,201809160334,63,1001001009
TKL ,B1   ,201809160335,52,1001001009
TKL ,B1   ,201809160336,55,1001001009
TKL ,B1   ,201809160337,62,1001001009
TKL ,B1   ,201809160338,47,1001001009
TKL ,B1   ,201809160339,42,1001001009
TKL ,B1   ,201809160340,56,1001001009
TKL ,B1   ,201809160341,53,1001001009
TKL ,B1   ,201809160342,44,1001001009
TKL ,B1   ,201809160343,55,1001001009
TKL ,B1   ,201809160344,52,1001001009
TKL ,B1   ,201809160345,45,1001001009
TKL ,B1   ,201809160346,44,1001001009
TKL ,B1   ,201809160347,62,1001001009
TKL ,B1   ,201809160348,55,1001001009
TKL ,B1   ,201809160349,52,1001001009
TKL ,B1   ,201809160350,49,1001001009
TKL ,B1   ,201809160351,44,1001001009
TKL ,B1   ,201809160352,58,1001001009
TKL ,B1   ,201809160353,75,1001001009
TKL ,B1   ,201809160354,71,1001001009
TKL ,B1   ,201809160355,74,1001001009
TKL ,B1   ,201809160356,75,1001001009
TKL ,B1   ,201809160357,52,1001001009
TKL ,B1   ,201809160358,49,1001001009
TKL ,B1   ,201809160359,60,1001001009
TKL ,B1   ,201809160400,65,1001001009
TKL ,B1   ,201809160401,58,1001001009
TKL ,B1   ,201809160402,65,1001001009
TKL ,B1   ,201809160403,62,1001001009
TKL ,B1   ,201809160404,64,1001001009
TKL ,B1   ,201809160405,62,1001001009
TKL ,B1   ,201809160406,95,1001001009
TKL ,B1   ,201809160407,73,1001001009
TKL ,B1   ,201809160408,72,1001001009
TKL ,B1   ,201809160409,72,1001001009
TKL ,B1   ,201809160410,80,1001001009
TKL ,B1   ,201809160411,81,1001001009
TKL ,B1   ,201809160412,75,1001001009
TKL ,B1   ,201809160413,57,1001001009
TKL ,B1   ,201809160414,87,1001001009
TKL ,B1   ,201809160415,66,1001001009
TKL ,B1   ,201809160416,80,1001001009
TKL ,B1   ,201809160417,76,1001001009
TKL ,B1   ,201809160418,62,1001001009
TKL ,B1   ,201809160419,85,1001001009
TKL ,B1   ,201809160420,80,1001001009
TKL ,B1   ,201809160421,69,1001001009
TKL ,B1   ,201809160422,77,1001001009
TKL ,B1   ,201809160423,63,1001001009
TKL ,B1   ,201809160424,59,1001001009
TKL ,B1   ,201809160425,66,1001001009
TKL ,B1   ,201809160426,61,1001001009
TKL ,B1   ,201809160427,69,1001001009
TKL ,B1   ,201809160428,73,1001001009
TKL ,B1   ,201809160429,88,1001001009
TKL ,B1   ,201809160430,90,1001001009
TKL ,B1   ,201809160431,71,1001001009
TKL ,B1   ,201809160432,69,1001001009
TKL ,B1   ,201809160433,63,1001001009
TKL ,B1   ,201809160434,78,1001001009
TKL ,B1   ,201809160435,78,1001001009
TKL ,B1   ,201809160436,81,1001001009
TKL ,B1   ,201809160437,61,1001001009
TKL ,B1   ,201809160438,86,1001001009
TKL ,B1   ,201809160439,70,1001001009
TKL ,B1   ,201809160440,58,1001001009
TKL ,B1   ,201809160441,39,1001001009
TKL ,B1   ,201809160442,64,1001001009
TKL ,B1   ,201809160443,71,1001001009
TKL ,B1   ,201809160444,78,1001001009
TKL ,B1   ,201809160445,88,1001001009
TKL ,B1   ,201809160446,70,1001001009
TKL ,B1   ,201809160447,60,1001001009
TKL ,B1   ,201809160448,78,1001001009
TKL ,B1   ,201809160449,70,1001001009
TKL ,B1   ,201809160450,67,1001001009
TKL ,B1   ,201809160451,72,1001001009
TKL ,B1   ,201809160452,50,1001001009
TKL ,B1   ,201809160453,52,1001001009
TKL ,B1   ,201809160454,53,1001001009
TKL ,B1   ,201809160455,54,1001001009
TKL ,B1   ,201809160456,70,1001001009
TKL ,B1   ,201809160457,65,1001001009
TKL ,B1   ,201809160458,52,1001001009
TKL ,B1   ,201809160459,89,1001001009
TKL ,B1   ,201809160500,134,1001001009
TKL ,B1   ,201809160501,89,1001001009
TKL ,B1   ,201809160502,89,1001001009
TKL ,B1   ,201809160503,95,1001001009
TKL ,B1   ,201809160504,81,1001001009
TKL ,B1   ,201809160505,87,1001001009
TKL ,B1   ,201809160506,93,1001001009
TKL ,B1   ,201809160507,79,1001001009
TKL ,B1   ,201809160508,62,1001001009
TKL ,B1   ,201809160509,120,1001001009
TKL ,B1   ,201809160510,108,1001001009
TKL ,B1   ,201809160511,90,1001001009
TKL ,B1   ,201809160512,86,1001001009
TKL ,B1   ,201809160513,93,1001001009
TKL ,B1   ,201809160514,108,1001001009
TKL ,B1   ,201809160515,106,1001001009
TKL ,B1   ,201809160516,101,1001001009
TKL ,B1   ,201809160517,139,1001001009
TKL ,B1   ,201809160518,93,1001001009
TKL ,B1   ,201809160519,112,1001001009
TKL ,B1   ,201809160520,100,1001001009
TKL ,B1   ,201809160521,91,1001001009
TKL ,B1   ,201809160522,108,1001001009
TKL ,B1   ,201809160523,109,1001001009
TKL ,B1   ,201809160524,81,1001001009
TKL ,B1   ,201809160525,71,1001001009
TKL ,B1   ,201809160526,83,1001001009
TKL ,B1   ,201809160527,96,1001001009
TKL ,B1   ,201809160528,78,1001001009
TKL ,B1   ,201809160529,92,1001001009
TKL ,B1   ,201809160530,111,1001001009
TKL ,B1   ,201809160531,98,1001001009
TKL ,B1   ,201809160532,75,1001001009
TKL ,B1   ,201809160533,84,1001001009
TKL ,B1   ,201809160534,95,1001001009
TKL ,B1   ,201809160535,116,1001001009
TKL ,B1   ,201809160536,85,1001001009
TKL ,B1   ,201809160537,87,1001001009
TKL ,B1   ,201809160538,76,1001001009
TKL ,B1   ,201809160539,130,1001001009
TKL ,B1   ,201809160540,107,1001001009
TKL ,B1   ,201809160541,82,1001001009
TKL ,B1   ,201809160542,95,1001001009
TKL ,B1   ,201809160543,98,1001001009
TKL ,B1   ,201809160544,105,1001001009
TKL ,B1   ,201809160545,114,1001001009
TKL ,B1   ,201809160546,106,1001001009
TKL ,B1   ,201809160547,94,1001001009
TKL ,B1   ,201809160548,76,1001001009
TKL ,B1   ,201809160549,101,1001001009
TKL ,B1   ,201809160550,79,1001001009
TKL ,B1   ,201809160551,94,1001001009
TKL ,B1   ,201809160552,82,1001001009
TKL ,B1   ,201809160553,102,1001001009
TKL ,B1   ,201809160554,90,1001001009
TKL ,B1   ,201809160555,88,1001001009
TKL ,B1   ,201809160556,75,1001001009
TKL ,B1   ,201809160557,84,1001001009
TKL ,B1   ,201809160558,90,1001001009
TKL ,B1   ,201809160559,91,1001001009
TKL ,B1   ,201809160600,82,1001001009
TKL ,B1   ,201809160601,108,1001001009
TKL ,B1   ,201809160602,78,1001001009
TKL ,B1   ,201809160603,74,1001001009
TKL ,B1   ,201809160604,66,1001001009
TKL ,B1   ,201809160605,52,1001001009
TKL ,B1   ,201809160606,66,1001001009
TKL ,B1   ,201809160607,77,1001001009
TKL ,B1   ,201809160608,68,1001001009
TKL ,B1   ,201809160609,82,1001001009
TKL ,B1   ,201809160610,63,1001001009
TKL ,B1   ,201809160611,73,1001001009
TKL ,B1   ,201809160612,65,1001001009
TKL ,B1   ,201809160613,43,1001001009
TKL ,B1   ,201809160614,48,1001001009
TKL ,B1   ,201809160615,49,1001001009
TKL ,B1   ,201809160616,67,1001001009
TKL ,B1   ,201809160617,64,1001001009
TKL ,B1   ,201809160618,53,1001001009
TKL ,B1   ,201809160619,53,1001001009
TKL ,B1   ,201809160620,56,1001001009
TKL ,B1   ,201809160621,77,1001001009
TKL ,B1   ,201809160622,78,1001001009
TKL ,B1   ,201809160623,55,1001001009
TKL ,B1   ,201809160624,78,1001001009
TKL ,B1   ,201809160625,75,1001001009
TKL ,B1   ,201809160626,66,1001001009
TKL ,B1   ,201809160627,64,1001001009
TKL ,B1   ,201809160628,63,1001001009
TKL ,B1   ,201809160629,76,1001001009
TKL ,B1   ,201809160630,99,1001001009
TKL ,B1   ,201809160631,78,1001001009
TKL ,B1   ,201809160632,74,1001001009
TKL ,B1   ,201809160633,75,1001001009
TKL ,B1   ,201809160634,102,1001001009
TKL ,B1   ,201809160635,76,1001001009
TKL ,B1   ,201809160636,78,1001001009
TKL ,B1   ,201809160637,71,1001001009
TKL ,B1   ,201809160638,67,1001001009
TKL ,B1   ,201809160639,72,1001001009
TKL ,B1   ,201809160640,78,1001001009
TKL ,B1   ,201809160641,85,1001001009
TKL ,B1   ,201809160642,62,1001001009
TKL ,B1   ,201809160643,67,1001001009
TKL ,B1   ,201809160644,71,1001001009
TKL ,B1   ,201809160645,78,1001001009
TKL ,B1   ,201809160646,60,1001001009
TKL ,B1   ,201809160647,88,1001001009
TKL ,B1   ,201809160648,57,1001001009
TKL ,B1   ,201809160649,86,1001001009
TKL ,B1   ,201809160650,86,1001001009
TKL ,B1   ,201809160651,91,1001001009
TKL ,B1   ,201809160652,72,1001001009
TKL ,B1   ,201809160653,66,1001001009
TKL ,B1   ,201809160654,82,1001001009
TKL ,B1   ,201809160655,67,1001001009
TKL ,B1   ,201809160656,99,1001001009
TKL ,B1   ,201809160657,113,1001001009
TKL ,B1   ,201809160658,77,1001001009
TKL ,B1   ,201809160659,81,1001001009
TKL ,B1   ,201809160700,76,1001001009
TKL ,B1   ,201809160701,67,1001001009
TKL ,B1   ,201809160702,112,1001001009
TKL ,B1   ,201809160703,86,1001001009
TKL ,B1   ,201809160704,81,1001001009
TKL ,B1   ,201809160705,91,1001001009
TKL ,B1   ,201809160706,94,1001001009
TKL ,B1   ,201809160707,76,1001001009
TKL ,B1   ,201809160708,73,1001001009
TKL ,B1   ,201809160709,81,1001001009
TKL ,B1   ,201809160710,62,1001001009
TKL ,B1   ,201809160711,60,1001001009
TKL ,B1   ,201809160712,56,1001001009
TKL ,B1   ,201809160713,66,1001001009
TKL ,B1   ,201809160714,87,1001001009
TKL ,B1   ,201809160715,77,1001001009
TKL ,B1   ,201809160716,73,1001001009
TKL ,B1   ,201809160717,89,1001001009
TKL ,B1   ,201809160718,49,1001001009
TKL ,B1   ,201809160719,58,1001001009
TKL ,B1   ,201809160720,92,1001001009
TKL ,B1   ,201809160721,61,1001001009
TKL ,B1   ,201809160722,52,1001001009
TKL ,B1   ,201809160723,47,1001001009
TKL ,B1   ,201809160724,50,1001001009
TKL ,B1   ,201809160725,49,1001001009
TKL ,B1   ,201809160726,55,1001001009
TKL ,B1   ,201809160727,66,1001001009
TKL ,B1   ,201809160728,80,1001001009
TKL ,B1   ,201809160729,87,1001001009
TKL ,B1   ,201809160730,63,1001001009
TKL ,B1   ,201809160731,58,1001001009
TKL ,B1   ,201809160732,52,1001001009
TKL ,B1   ,201809160733,55,1001001009
TKL ,B1   ,201809160734,77,1001001009
TKL ,B1   ,201809160735,76,1001001009
TKL ,B1   ,201809160736,74,1001001009
TKL ,B1   ,201809160737,70,1001001009
TKL ,B1   ,201809160738,82,1001001009
TKL ,B1   ,201809160739,67,1001001009
TKL ,B1   ,201809160740,78,1001001009
TKL ,B1   ,201809160741,67,1001001009
TKL ,B1   ,201809160742,85,1001001009
TKL ,B1   ,201809160743,69,1001001009
TKL ,B1   ,201809160744,72,1001001009
TKL ,B1   ,201809160745,63,1001001009
TKL ,B1   ,201809160746,65,1001001009
TKL ,B1   ,201809160747,73,1001001009
TKL ,B1   ,201809160748,86,1001001009
TKL ,B1   ,201809160749,75,1001001009
TKL ,B1   ,201809160750,80,1001001009
TKL ,B1   ,201809160751,76,1001001009
TKL ,B1   ,201809160752,61,1001001009
TKL ,B1   ,201809160753,119,1001001009
TKL ,B1   ,201809160754,115,1001001009
TKL ,B1   ,201809160755,76,1001001009
TKL ,B1   ,201809160756,86,1001001009
TKL ,B1   ,201809160757,102,1001001009
TKL ,B1   ,201809160758,83,1001001009
TKL ,B1   ,201809160759,119,1001001009
TKL ,B1   ,201809160800,90,1001001009
TKL ,B1   ,201809160801,91,1001001009
TKL ,B1   ,201809160802,80,1001001009
TKL ,B1   ,201809160803,115,1001001009
TKL ,B1   ,201809160804,87,1001001009
TKL ,B1   ,201809160805,83,1001001009
TKL ,B1   ,201809160806,104,1001001009
TKL ,B1   ,201809160807,103,1001001009
TKL ,B1   ,201809160808,77,1001001009
TKL ,B1   ,201809160809,93,1001001009
TKL ,B1   ,201809160810,71,1001001009
TKL ,B1   ,201809160811,77,1001001009
TKL ,B1   ,201809160812,95,1001001009
TKL ,B1   ,201809160813,92,1001001009
TKL ,B1   ,201809160814,81,1001001009
TKL ,B1   ,201809160815,73,1001001009
TKL ,B1   ,201809160816,63,1001001009
TKL ,B1   ,201809160817,86,1001001009
TKL ,B1   ,201809160818,65,1001001009
TKL ,B1   ,201809160819,61,1001001009
TKL ,B1   ,201809160820,91,1001001009
TKL ,B1   ,201809160821,85,1001001009
TKL ,B1   ,201809160822,73,1001001009
TKL ,B1   ,201809160823,109,1001001009
TKL ,B1   ,201809160824,77,1001001009
TKL ,B1   ,201809160825,91,1001001009
TKL ,B1   ,201809160826,76,1001001009
TKL ,B1   ,201809160827,87,1001001009
TKL ,B1   ,201809160828,78,1001001009
TKL ,B1   ,201809160829,70,1001001009
TKL ,B1   ,201809160830,83,1001001009
TKL ,B1   ,201809160831,70,1001001009
TKL ,B1   ,201809160832,99,1001001009
TKL ,B1   ,201809160833,66,1001001009
TKL ,B1   ,201809160834,68,1001001009
TKL ,B1   ,201809160835,73,1001001009
TKL ,B1   ,201809160836,82,1001001009
TKL ,B1   ,201809160837,78,1001001009
TKL ,B1   ,201809160838,85,1001001009
TKL ,B1   ,201809160839,81,1001001009
TKL ,B1   ,201809160840,94,1001001009
TKL ,B1   ,201809160841,97,1001001009
TKL ,B1   ,201809160842,50,1001001009
TKL ,B1   ,201809160843,72,1001001009
TKL ,B1   ,201809160844,101,1001001009
TKL ,B1   ,201809160845,91,1001001009
TKL ,B1   ,201809160846,70,1001001009
TKL ,B1   ,201809160847,91,1001001009
TKL ,B1   ,201809160848,107,1001001009
TKL ,B1   ,201809160849,115,1001001009
TKL ,B1   ,201809160850,92,1001001009
TKL ,B1   ,201809160851,71,1001001009
TKL ,B1   ,201809160852,94,1001001009
TKL ,B1   ,201809160853,96,1001001009
TKL ,B1   ,201809160854,97,1001001009
TKL ,B1   ,201809160855,73,1001001009
TKL ,B1   ,201809160856,98,1001001009
TKL ,B1   ,201809160857,89,1001001009
TKL ,B1   ,201809160858,98,1001001009
TKL ,B1   ,201809160859,99,1001001009
TKL ,B1   ,201809160900,83,1001001009
TKL ,B1   ,201809160901,96,1001001009
TKL ,B1   ,201809160902,65,1001001009
TKL ,B1   ,201809160903,70,1001001009
TKL ,B1   ,201809160904,80,1001001009
TKL ,B1   ,201809160905,81,1001001009
TKL ,B1   ,201809160906,77,1001001009
TKL ,B1   ,201809160907,100,1001001009
TKL ,B1   ,201809160908,72,1001001009
TKL ,B1   ,201809160909,65,1001001009
TKL ,B1   ,201809160910,93,1001001009
TKL ,B1   ,201809160911,87,1001001009
TKL ,B1   ,201809160912,76,1001001009
TKL ,B1   ,201809160913,89,1001001009
TKL ,B1   ,201809160914,71,1001001009
TKL ,B1   ,201809160915,66,1001001009
TKL ,B1   ,201809160916,83,1001001009
TKL ,B1   ,201809160917,78,1001001009
TKL ,B1   ,201809160918,100,1001001009
TKL ,B1   ,201809160919,74,1001001009
TKL ,B1   ,201809160920,78,1001001009
TKL ,B1   ,201809160921,64,1001001009
TKL ,B1   ,201809160922,84,1001001009
TKL ,B1   ,201809160923,85,1001001009
TKL ,B1   ,201809160924,120,1001001009
TKL ,B1   ,201809160925,88,1001001009
TKL ,B1   ,201809160926,93,1001001009
TKL ,B1   ,201809160927,173,1001001009
TKL ,B1   ,201809160928,97,1001001009
TKL ,B1   ,201809160929,65,1001001009
TKL ,B1   ,201809160930,85,1001001009
TKL ,B1   ,201809160931,45,1001001009
TKL ,B1   ,201809160932,66,1001001009
TKL ,B1   ,201809160933,57,1001001009
TKL ,B1   ,201809160934,80,1001001009
TKL ,B1   ,201809160935,51,1001001009
TKL ,B1   ,201809160936,53,1001001009
