TC  ,B1   ,201809160225,234,1001001009
TC  ,B1   ,201809160226,265,1001001009
TC  ,B1   ,201809160227,272,1001001009
TC  ,B1   ,201809160228,243,1001001009
TC  ,B1   ,201809160229,241,1001001009
TC  ,B1   ,201809160230,233,1001001009
TC  ,B1   ,201809160231,213,1001001009
TC  ,B1   ,201809160232,235,1001001009
TC  ,B1   ,201809160233,262,1001001009
TC  ,B1   ,201809160234,241,1001001009
TC  ,B1   ,201809160235,214,1001001009
TC  ,B1   ,201809160236,205,1001001009
TC  ,B1   ,201809160237,214,1001001009
TC  ,B1   ,201809160238,243,1001001009
TC  ,B1   ,201809160239,221,1001001009
TC  ,B1   ,201809160240,226,1001001009
TC  ,B1   ,201809160241,197,1001001009
TC  ,B1   ,201809160242,196,1001001009
TC  ,B1   ,201809160243,204,1001001009
TC  ,B1   ,201809160244,209,1001001009
TC  ,B1   ,201809160245,227,1001001009
TC  ,B1   ,201809160246,237,1001001009
TC  ,B1   ,201809160247,228,1001001009
TC  ,B1   ,201809160248,205,1001001009
TC  ,B1   ,201809160249,225,1001001009
TC  ,B1   ,201809160250,221,1001001009
TC  ,B1   ,201809160251,226,1001001009
TC  ,B1   ,201809160252,244,1001001009
TC  ,B1   ,201809160253,236,1001001009
TC  ,B1   ,201809160254,217,1001001009
TC  ,B1   ,201809160255,195,1001001009
TC  ,B1   ,201809160256,236,1001001009
TC  ,B1   ,201809160257,240,1001001009
TC  ,B1   ,201809160258,222,1001001009
TC  ,B1   ,201809160259,262,1001001009
TC  ,B1   ,201809160300,262,1001001009
TC  ,B1   ,201809160301,234,1001001009
TC  ,B1   ,201809160302,253,1001001009
TC  ,B1   ,201809160303,230,1001001009
TC  ,B1   ,201809160304,256,1001001009
TC  ,B1   ,201809160305,228,1001001009
TC  ,B1   ,201809160306,240,1001001009
TC  ,B1   ,201809160307,244,1001001009
TC  ,B1   ,201809160308,248,1001001009
TC  ,B1   ,201809160309,260,1001001009
TC  ,B1   ,201809160310,237,1001001009
TC  ,B1   ,201809160311,240,1001001009
TC  ,B1   ,201809160312,216,1001001009
TC  ,B1   ,201809160313,245,1001001009
TC  ,B1   ,201809160314,237,1001001009
TC  ,B1   ,201809160315,216,1001001009
TC  ,B1   ,201809160316,246,1001001009
TC  ,B1   ,201809160317,246,1001001009
TC  ,B1   ,201809160318,239,1001001009
TC  ,B1   ,201809160319,238,1001001009
TC  ,B1   ,201809160320,208,1001001009
TC  ,B1   ,201809160321,220,1001001009
TC  ,B1   ,201809160322,218,1001001009
TC  ,B1   ,201809160323,204,1001001009
TC  ,B1   ,201809160324,215,1001001009
TC  ,B1   ,201809160325,225,1001001009
TC  ,B1   ,201809160326,235,1001001009
TC  ,B1   ,201809160327,260,1001001009
TC  ,B1   ,201809160328,237,1001001009
TC  ,B1   ,201809160329,250,1001001009
TC  ,B1   ,201809160330,243,1001001009
TC  ,B1   ,201809160331,254,1001001009
TC  ,B1   ,201809160332,239,1001001009
TC  ,B1   ,201809160333,219,1001001009
TC  ,B1   ,201809160334,257,1001001009
TC  ,B1   ,201809160335,258,1001001009
TC  ,B1   ,201809160336,233,1001001009
TC  ,B1   ,201809160337,220,1001001009
TC  ,B1   ,201809160338,252,1001001009
TC  ,B1   ,201809160339,255,1001001009
TC  ,B1   ,201809160340,265,1001001009
TC  ,B1   ,201809160341,239,1001001009
TC  ,B1   ,201809160342,211,1001001009
TC  ,B1   ,201809160343,178,1001001009
TC  ,B1   ,201809160344,207,1001001009
TC  ,B1   ,201809160345,223,1001001009
TC  ,B1   ,201809160346,234,1001001009
TC  ,B1   ,201809160347,236,1001001009
TC  ,B1   ,201809160348,226,1001001009
TC  ,B1   ,201809160349,220,1001001009
TC  ,B1   ,201809160350,250,1001001009
TC  ,B1   ,201809160351,248,1001001009
TC  ,B1   ,201809160352,252,1001001009
TC  ,B1   ,201809160353,251,1001001009
TC  ,B1   ,201809160354,252,1001001009
TC  ,B1   ,201809160355,217,1001001009
TC  ,B1   ,201809160356,254,1001001009
TC  ,B1   ,201809160357,252,1001001009
TC  ,B1   ,201809160358,278,1001001009
TC  ,B1   ,201809160359,253,1001001009
TC  ,B1   ,201809160400,243,1001001009
TC  ,B1   ,201809160401,230,1001001009
TC  ,B1   ,201809160402,249,1001001009
TC  ,B1   ,201809160403,265,1001001009
TC  ,B1   ,201809160404,227,1001001009
TC  ,B1   ,201809160405,243,1001001009
TC  ,B1   ,201809160406,222,1001001009
TC  ,B1   ,201809160407,226,1001001009
TC  ,B1   ,201809160408,221,1001001009
TC  ,B1   ,201809160409,235,1001001009
TC  ,B1   ,201809160410,236,1001001009
TC  ,B1   ,201809160411,242,1001001009
TC  ,B1   ,201809160412,262,1001001009
TC  ,B1   ,201809160413,226,1001001009
TC  ,B1   ,201809160414,275,1001001009
TC  ,B1   ,201809160415,279,1001001009
TC  ,B1   ,201809160416,276,1001001009
TC  ,B1   ,201809160417,256,1001001009
TC  ,B1   ,201809160418,271,1001001009
TC  ,B1   ,201809160419,270,1001001009
TC  ,B1   ,201809160420,228,1001001009
TC  ,B1   ,201809160421,273,1001001009
TC  ,B1   ,201809160422,255,1001001009
TC  ,B1   ,201809160423,275,1001001009
TC  ,B1   ,201809160424,237,1001001009
TC  ,B1   ,201809160425,243,1001001009
TC  ,B1   ,201809160426,245,1001001009
TC  ,B1   ,201809160427,244,1001001009
TC  ,B1   ,201809160428,237,1001001009
TC  ,B1   ,201809160429,239,1001001009
TC  ,B1   ,201809160430,251,1001001009
TC  ,B1   ,201809160431,232,1001001009
TC  ,B1   ,201809160432,232,1001001009
TC  ,B1   ,201809160433,215,1001001009
TC  ,B1   ,201809160434,237,1001001009
TC  ,B1   ,201809160435,216,1001001009
TC  ,B1   ,201809160436,213,1001001009
TC  ,B1   ,201809160437,237,1001001009
TC  ,B1   ,201809160438,227,1001001009
TC  ,B1   ,201809160439,222,1001001009
TC  ,B1   ,201809160440,228,1001001009
TC  ,B1   ,201809160441,222,1001001009
TC  ,B1   ,201809160442,205,1001001009
TC  ,B1   ,201809160443,211,1001001009
TC  ,B1   ,201809160444,206,1001001009
TC  ,B1   ,201809160445,229,1001001009
TC  ,B1   ,201809160446,215,1001001009
TC  ,B1   ,201809160447,248,1001001009
TC  ,B1   ,201809160448,229,1001001009
TC  ,B1   ,201809160449,201,1001001009
TC  ,B1   ,201809160450,221,1001001009
TC  ,B1   ,201809160451,238,1001001009
TC  ,B1   ,201809160452,244,1001001009
TC  ,B1   ,201809160453,235,1001001009
TC  ,B1   ,201809160454,245,1001001009
TC  ,B1   ,201809160455,265,1001001009
TC  ,B1   ,201809160456,216,1001001009
TC  ,B1   ,201809160457,239,1001001009
TC  ,B1   ,201809160458,267,1001001009
TC  ,B1   ,201809160459,247,1001001009
TC  ,B1   ,201809160500,252,1001001009
TC  ,B1   ,201809160501,245,1001001009
TC  ,B1   ,201809160502,283,1001001009
TC  ,B1   ,201809160503,281,1001001009
TC  ,B1   ,201809160504,284,1001001009
TC  ,B1   ,201809160505,244,1001001009
TC  ,B1   ,201809160506,296,1001001009
TC  ,B1   ,201809160507,262,1001001009
TC  ,B1   ,201809160508,269,1001001009
TC  ,B1   ,201809160509,236,1001001009
TC  ,B1   ,201809160510,280,1001001009
TC  ,B1   ,201809160511,260,1001001009
TC  ,B1   ,201809160512,231,1001001009
TC  ,B1   ,201809160513,206,1001001009
TC  ,B1   ,201809160514,223,1001001009
TC  ,B1   ,201809160515,226,1001001009
TC  ,B1   ,201809160516,217,1001001009
TC  ,B1   ,201809160517,218,1001001009
TC  ,B1   ,201809160518,224,1001001009
TC  ,B1   ,201809160519,196,1001001009
TC  ,B1   ,201809160520,203,1001001009
TC  ,B1   ,201809160521,194,1001001009
TC  ,B1   ,201809160522,198,1001001009
TC  ,B1   ,201809160523,208,1001001009
TC  ,B1   ,201809160524,198,1001001009
TC  ,B1   ,201809160525,183,1001001009
TC  ,B1   ,201809160526,219,1001001009
TC  ,B1   ,201809160527,213,1001001009
TC  ,B1   ,201809160528,208,1001001009
TC  ,B1   ,201809160529,267,1001001009
TC  ,B1   ,201809160530,220,1001001009
TC  ,B1   ,201809160531,219,1001001009
TC  ,B1   ,201809160532,201,1001001009
TC  ,B1   ,201809160533,242,1001001009
TC  ,B1   ,201809160534,216,1001001009
TC  ,B1   ,201809160535,234,1001001009
TC  ,B1   ,201809160536,224,1001001009
TC  ,B1   ,201809160537,241,1001001009
TC  ,B1   ,201809160538,243,1001001009
TC  ,B1   ,201809160539,237,1001001009
TC  ,B1   ,201809160540,236,1001001009
TC  ,B1   ,201809160541,246,1001001009
TC  ,B1   ,201809160542,255,1001001009
TC  ,B1   ,201809160543,245,1001001009
TC  ,B1   ,201809160544,254,1001001009
TC  ,B1   ,201809160545,244,1001001009
TC  ,B1   ,201809160546,279,1001001009
TC  ,B1   ,201809160547,261,1001001009
TC  ,B1   ,201809160548,282,1001001009
TC  ,B1   ,201809160549,264,1001001009
TC  ,B1   ,201809160550,261,1001001009
TC  ,B1   ,201809160551,265,1001001009
TC  ,B1   ,201809160552,308,1001001009
TC  ,B1   ,201809160553,271,1001001009
TC  ,B1   ,201809160554,275,1001001009
TC  ,B1   ,201809160555,243,1001001009
TC  ,B1   ,201809160556,269,1001001009
TC  ,B1   ,201809160557,241,1001001009
TC  ,B1   ,201809160558,261,1001001009
TC  ,B1   ,201809160559,260,1001001009
TC  ,B1   ,201809160600,319,1001001009
TC  ,B1   ,201809160601,277,1001001009
TC  ,B1   ,201809160602,294,1001001009
TC  ,B1   ,201809160603,270,1001001009
TC  ,B1   ,201809160604,291,1001001009
TC  ,B1   ,201809160605,286,1001001009
TC  ,B1   ,201809160606,261,1001001009
TC  ,B1   ,201809160607,289,1001001009
TC  ,B1   ,201809160608,258,1001001009
TC  ,B1   ,201809160609,274,1001001009
TC  ,B1   ,201809160610,237,1001001009
TC  ,B1   ,201809160611,248,1001001009
TC  ,B1   ,201809160612,236,1001001009
TC  ,B1   ,201809160613,262,1001001009
TC  ,B1   ,201809160614,311,1001001009
TC  ,B1   ,201809160615,278,1001001009
TC  ,B1   ,201809160616,264,1001001009
TC  ,B1   ,201809160617,260,1001001009
TC  ,B1   ,201809160618,277,1001001009
TC  ,B1   ,201809160619,276,1001001009
TC  ,B1   ,201809160620,310,1001001009
TC  ,B1   ,201809160621,271,1001001009
TC  ,B1   ,201809160622,289,1001001009
TC  ,B1   ,201809160623,323,1001001009
TC  ,B1   ,201809160624,329,1001001009
TC  ,B1   ,201809160625,287,1001001009
TC  ,B1   ,201809160626,256,1001001009
TC  ,B1   ,201809160627,267,1001001009
TC  ,B1   ,201809160628,288,1001001009
TC  ,B1   ,201809160629,278,1001001009
TC  ,B1   ,201809160630,268,1001001009
TC  ,B1   ,201809160631,254,1001001009
TC  ,B1   ,201809160632,261,1001001009
TC  ,B1   ,201809160633,242,1001001009
TC  ,B1   ,201809160634,265,1001001009
TC  ,B1   ,201809160635,293,1001001009
TC  ,B1   ,201809160636,280,1001001009
TC  ,B1   ,201809160637,281,1001001009
TC  ,B1   ,201809160638,279,1001001009
TC  ,B1   ,201809160639,269,1001001009
TC  ,B1   ,201809160640,264,1001001009
TC  ,B1   ,201809160641,251,1001001009
TC  ,B1   ,201809160642,284,1001001009
TC  ,B1   ,201809160643,275,1001001009
TC  ,B1   ,201809160644,292,1001001009
TC  ,B1   ,201809160645,271,1001001009
TC  ,B1   ,201809160646,325,1001001009
TC  ,B1   ,201809160647,287,1001001009
TC  ,B1   ,201809160648,274,1001001009
TC  ,B1   ,201809160649,288,1001001009
TC  ,B1   ,201809160650,309,1001001009
TC  ,B1   ,201809160651,307,1001001009
TC  ,B1   ,201809160652,298,1001001009
TC  ,B1   ,201809160653,304,1001001009
TC  ,B1   ,201809160654,283,1001001009
TC  ,B1   ,201809160655,314,1001001009
TC  ,B1   ,201809160656,312,1001001009
TC  ,B1   ,201809160657,317,1001001009
TC  ,B1   ,201809160658,302,1001001009
TC  ,B1   ,201809160659,329,1001001009
TC  ,B1   ,201809160700,276,1001001009
TC  ,B1   ,201809160701,282,1001001009
TC  ,B1   ,201809160702,311,1001001009
TC  ,B1   ,201809160703,321,1001001009
TC  ,B1   ,201809160704,300,1001001009
TC  ,B1   ,201809160705,337,1001001009
TC  ,B1   ,201809160706,317,1001001009
TC  ,B1   ,201809160707,299,1001001009
TC  ,B1   ,201809160708,300,1001001009
TC  ,B1   ,201809160709,309,1001001009
TC  ,B1   ,201809160710,305,1001001009
TC  ,B1   ,201809160711,297,1001001009
TC  ,B1   ,201809160712,283,1001001009
TC  ,B1   ,201809160713,337,1001001009
TC  ,B1   ,201809160714,330,1001001009
TC  ,B1   ,201809160715,328,1001001009
TC  ,B1   ,201809160716,284,1001001009
TC  ,B1   ,201809160717,337,1001001009
TC  ,B1   ,201809160718,306,1001001009
TC  ,B1   ,201809160719,315,1001001009
TC  ,B1   ,201809160720,346,1001001009
TC  ,B1   ,201809160721,303,1001001009
TC  ,B1   ,201809160722,288,1001001009
TC  ,B1   ,201809160723,285,1001001009
TC  ,B1   ,201809160724,318,1001001009
TC  ,B1   ,201809160725,300,1001001009
TC  ,B1   ,201809160726,318,1001001009
TC  ,B1   ,201809160727,299,1001001009
TC  ,B1   ,201809160728,322,1001001009
TC  ,B1   ,201809160729,328,1001001009
TC  ,B1   ,201809160730,332,1001001009
TC  ,B1   ,201809160731,334,1001001009
TC  ,B1   ,201809160732,339,1001001009
TC  ,B1   ,201809160733,347,1001001009
TC  ,B1   ,201809160734,301,1001001009
TC  ,B1   ,201809160735,281,1001001009
TC  ,B1   ,201809160736,324,1001001009
TC  ,B1   ,201809160737,296,1001001009
TC  ,B1   ,201809160738,295,1001001009
TC  ,B1   ,201809160739,277,1001001009
TC  ,B1   ,201809160740,306,1001001009
TC  ,B1   ,201809160741,335,1001001009
TC  ,B1   ,201809160742,326,1001001009
TC  ,B1   ,201809160743,282,1001001009
TC  ,B1   ,201809160744,286,1001001009
TC  ,B1   ,201809160745,326,1001001009
TC  ,B1   ,201809160746,315,1001001009
TC  ,B1   ,201809160747,317,1001001009
TC  ,B1   ,201809160748,315,1001001009
TC  ,B1   ,201809160749,309,1001001009
TC  ,B1   ,201809160750,277,1001001009
TC  ,B1   ,201809160751,314,1001001009
TC  ,B1   ,201809160752,314,1001001009
TC  ,B1   ,201809160753,315,1001001009
TC  ,B1   ,201809160754,303,1001001009
TC  ,B1   ,201809160755,307,1001001009
TC  ,B1   ,201809160756,282,1001001009
TC  ,B1   ,201809160757,288,1001001009
TC  ,B1   ,201809160758,294,1001001009
TC  ,B1   ,201809160759,298,1001001009
TC  ,B1   ,201809160800,277,1001001009
TC  ,B1   ,201809160801,270,1001001009
TC  ,B1   ,201809160802,278,1001001009
TC  ,B1   ,201809160803,321,1001001009
TC  ,B1   ,201809160804,289,1001001009
TC  ,B1   ,201809160805,257,1001001009
TC  ,B1   ,201809160806,285,1001001009
TC  ,B1   ,201809160807,278,1001001009
TC  ,B1   ,201809160808,292,1001001009
TC  ,B1   ,201809160809,335,1001001009
TC  ,B1   ,201809160810,295,1001001009
TC  ,B1   ,201809160811,285,1001001009
TC  ,B1   ,201809160812,296,1001001009
TC  ,B1   ,201809160813,264,1001001009
TC  ,B1   ,201809160814,290,1001001009
TC  ,B1   ,201809160815,302,1001001009
TC  ,B1   ,201809160816,252,1001001009
TC  ,B1   ,201809160817,260,1001001009
TC  ,B1   ,201809160818,252,1001001009
TC  ,B1   ,201809160819,263,1001001009
TC  ,B1   ,201809160820,276,1001001009
TC  ,B1   ,201809160821,271,1001001009
TC  ,B1   ,201809160822,273,1001001009
TC  ,B1   ,201809160823,257,1001001009
TC  ,B1   ,201809160824,284,1001001009
TC  ,B1   ,201809160825,285,1001001009
TC  ,B1   ,201809160826,327,1001001009
TC  ,B1   ,201809160827,314,1001001009
TC  ,B1   ,201809160828,308,1001001009
TC  ,B1   ,201809160829,291,1001001009
TC  ,B1   ,201809160830,309,1001001009
TC  ,B1   ,201809160831,286,1001001009
TC  ,B1   ,201809160832,249,1001001009
TC  ,B1   ,201809160833,264,1001001009
TC  ,B1   ,201809160834,314,1001001009
TC  ,B1   ,201809160835,322,1001001009
TC  ,B1   ,201809160836,294,1001001009
TC  ,B1   ,201809160837,259,1001001009
TC  ,B1   ,201809160838,270,1001001009
TC  ,B1   ,201809160839,259,1001001009
TC  ,B1   ,201809160840,294,1001001009
TC  ,B1   ,201809160841,274,1001001009
TC  ,B1   ,201809160842,294,1001001009
TC  ,B1   ,201809160843,331,1001001009
TC  ,B1   ,201809160844,392,1001001009
TC  ,B1   ,201809160845,375,1001001009
TC  ,B1   ,201809160846,337,1001001009
TC  ,B1   ,201809160847,365,1001001009
TC  ,B1   ,201809160848,378,1001001009
TC  ,B1   ,201809160849,359,1001001009
TC  ,B1   ,201809160850,361,1001001009
TC  ,B1   ,201809160851,360,1001001009
TC  ,B1   ,201809160852,302,1001001009
TC  ,B1   ,201809160853,372,1001001009
TC  ,B1   ,201809160854,343,1001001009
TC  ,B1   ,201809160855,366,1001001009
TC  ,B1   ,201809160856,318,1001001009
TC  ,B1   ,201809160857,324,1001001009
TC  ,B1   ,201809160858,376,1001001009
TC  ,B1   ,201809160859,319,1001001009
TC  ,B1   ,201809160900,386,1001001009
TC  ,B1   ,201809160901,397,1001001009
TC  ,B1   ,201809160902,405,1001001009
TC  ,B1   ,201809160903,342,1001001009
