CCH ,B1   ,201809160225,148,1001001009
CCH ,B1   ,201809160226,141,1001001009
CCH ,B1   ,201809160227,153,1001001009
CCH ,B1   ,201809160228,137,1001001009
CCH ,B1   ,201809160229,134,1001001009
CCH ,B1   ,201809160230,171,1001001009
CCH ,B1   ,201809160231,156,1001001009
CCH ,B1   ,201809160232,133,1001001009
CCH ,B1   ,201809160233,143,1001001009
CCH ,B1   ,201809160234,146,1001001009
CCH ,B1   ,201809160235,117,1001001009
CCH ,B1   ,201809160236,134,1001001009
CCH ,B1   ,201809160237,133,1001001009
CCH ,B1   ,201809160238,138,1001001009
CCH ,B1   ,201809160239,136,1001001009
CCH ,B1   ,201809160240,125,1001001009
CCH ,B1   ,201809160241,141,1001001009
CCH ,B1   ,201809160242,128,1001001009
CCH ,B1   ,201809160243,116,1001001009
CCH ,B1   ,201809160244,127,1001001009
CCH ,B1   ,201809160245,135,1001001009
CCH ,B1   ,201809160246,116,1001001009
CCH ,B1   ,201809160247,112,1001001009
CCH ,B1   ,201809160248,108,1001001009
CCH ,B1   ,201809160249,114,1001001009
CCH ,B1   ,201809160250,93,1001001009
CCH ,B1   ,201809160251,95,1001001009
CCH ,B1   ,201809160252,106,1001001009
CCH ,B1   ,201809160253,111,1001001009
CCH ,B1   ,201809160254,114,1001001009
CCH ,B1   ,201809160255,114,1001001009
CCH ,B1   ,201809160256,107,1001001009
CCH ,B1   ,201809160257,144,1001001009
CCH ,B1   ,201809160258,140,1001001009
CCH ,B1   ,201809160259,107,1001001009
CCH ,B1   ,201809160300,109,1001001009
CCH ,B1   ,201809160301,98,1001001009
CCH ,B1   ,201809160302,126,1001001009
CCH ,B1   ,201809160303,125,1001001009
CCH ,B1   ,201809160304,125,1001001009
CCH ,B1   ,201809160305,115,1001001009
CCH ,B1   ,201809160306,117,1001001009
CCH ,B1   ,201809160307,81,1001001009
CCH ,B1   ,201809160308,125,1001001009
CCH ,B1   ,201809160309,151,1001001009
CCH ,B1   ,201809160310,119,1001001009
CCH ,B1   ,201809160311,133,1001001009
CCH ,B1   ,201809160312,155,1001001009
CCH ,B1   ,201809160313,125,1001001009
CCH ,B1   ,201809160314,114,1001001009
CCH ,B1   ,201809160315,124,1001001009
CCH ,B1   ,201809160316,134,1001001009
CCH ,B1   ,201809160317,127,1001001009
CCH ,B1   ,201809160318,135,1001001009
CCH ,B1   ,201809160319,161,1001001009
CCH ,B1   ,201809160320,165,1001001009
CCH ,B1   ,201809160321,147,1001001009
CCH ,B1   ,201809160322,145,1001001009
CCH ,B1   ,201809160323,108,1001001009
CCH ,B1   ,201809160324,120,1001001009
CCH ,B1   ,201809160325,135,1001001009
CCH ,B1   ,201809160326,109,1001001009
CCH ,B1   ,201809160327,135,1001001009
CCH ,B1   ,201809160328,140,1001001009
CCH ,B1   ,201809160329,106,1001001009
CCH ,B1   ,201809160330,134,1001001009
CCH ,B1   ,201809160331,160,1001001009
CCH ,B1   ,201809160332,153,1001001009
CCH ,B1   ,201809160333,138,1001001009
CCH ,B1   ,201809160334,111,1001001009
CCH ,B1   ,201809160335,127,1001001009
CCH ,B1   ,201809160336,121,1001001009
CCH ,B1   ,201809160337,187,1001001009
CCH ,B1   ,201809160338,169,1001001009
CCH ,B1   ,201809160339,144,1001001009
CCH ,B1   ,201809160340,166,1001001009
CCH ,B1   ,201809160341,136,1001001009
CCH ,B1   ,201809160342,135,1001001009
CCH ,B1   ,201809160343,167,1001001009
CCH ,B1   ,201809160344,151,1001001009
CCH ,B1   ,201809160345,139,1001001009
CCH ,B1   ,201809160346,139,1001001009
CCH ,B1   ,201809160347,146,1001001009
CCH ,B1   ,201809160348,135,1001001009
CCH ,B1   ,201809160349,133,1001001009
CCH ,B1   ,201809160350,149,1001001009
CCH ,B1   ,201809160351,124,1001001009
CCH ,B1   ,201809160352,105,1001001009
CCH ,B1   ,201809160353,133,1001001009
CCH ,B1   ,201809160354,133,1001001009
CCH ,B1   ,201809160355,137,1001001009
CCH ,B1   ,201809160356,123,1001001009
CCH ,B1   ,201809160357,170,1001001009
CCH ,B1   ,201809160358,111,1001001009
CCH ,B1   ,201809160359,150,1001001009
CCH ,B1   ,201809160400,147,1001001009
CCH ,B1   ,201809160401,175,1001001009
CCH ,B1   ,201809160402,169,1001001009
CCH ,B1   ,201809160403,162,1001001009
CCH ,B1   ,201809160404,158,1001001009
CCH ,B1   ,201809160405,151,1001001009
CCH ,B1   ,201809160406,148,1001001009
CCH ,B1   ,201809160407,135,1001001009
CCH ,B1   ,201809160408,163,1001001009
CCH ,B1   ,201809160409,148,1001001009
CCH ,B1   ,201809160410,144,1001001009
CCH ,B1   ,201809160411,158,1001001009
CCH ,B1   ,201809160412,157,1001001009
CCH ,B1   ,201809160413,171,1001001009
CCH ,B1   ,201809160414,180,1001001009
CCH ,B1   ,201809160415,165,1001001009
CCH ,B1   ,201809160416,167,1001001009
CCH ,B1   ,201809160417,174,1001001009
CCH ,B1   ,201809160418,201,1001001009
CCH ,B1   ,201809160419,224,1001001009
CCH ,B1   ,201809160420,211,1001001009
CCH ,B1   ,201809160421,187,1001001009
CCH ,B1   ,201809160422,192,1001001009
CCH ,B1   ,201809160423,172,1001001009
CCH ,B1   ,201809160424,174,1001001009
CCH ,B1   ,201809160425,152,1001001009
CCH ,B1   ,201809160426,189,1001001009
CCH ,B1   ,201809160427,219,1001001009
CCH ,B1   ,201809160428,196,1001001009
CCH ,B1   ,201809160429,186,1001001009
CCH ,B1   ,201809160430,211,1001001009
CCH ,B1   ,201809160431,181,1001001009
CCH ,B1   ,201809160432,187,1001001009
CCH ,B1   ,201809160433,197,1001001009
CCH ,B1   ,201809160434,155,1001001009
CCH ,B1   ,201809160435,181,1001001009
CCH ,B1   ,201809160436,191,1001001009
CCH ,B1   ,201809160437,183,1001001009
CCH ,B1   ,201809160438,194,1001001009
CCH ,B1   ,201809160439,179,1001001009
CCH ,B1   ,201809160440,174,1001001009
CCH ,B1   ,201809160441,170,1001001009
CCH ,B1   ,201809160442,160,1001001009
CCH ,B1   ,201809160443,142,1001001009
CCH ,B1   ,201809160444,121,1001001009
CCH ,B1   ,201809160445,148,1001001009
CCH ,B1   ,201809160446,156,1001001009
CCH ,B1   ,201809160447,155,1001001009
CCH ,B1   ,201809160448,127,1001001009
CCH ,B1   ,201809160449,162,1001001009
CCH ,B1   ,201809160450,122,1001001009
CCH ,B1   ,201809160451,121,1001001009
CCH ,B1   ,201809160452,140,1001001009
CCH ,B1   ,201809160453,140,1001001009
CCH ,B1   ,201809160454,126,1001001009
CCH ,B1   ,201809160455,131,1001001009
CCH ,B1   ,201809160456,148,1001001009
CCH ,B1   ,201809160457,123,1001001009
CCH ,B1   ,201809160458,153,1001001009
CCH ,B1   ,201809160459,169,1001001009
CCH ,B1   ,201809160500,161,1001001009
CCH ,B1   ,201809160501,153,1001001009
CCH ,B1   ,201809160502,146,1001001009
CCH ,B1   ,201809160503,161,1001001009
CCH ,B1   ,201809160504,169,1001001009
CCH ,B1   ,201809160505,167,1001001009
CCH ,B1   ,201809160506,185,1001001009
CCH ,B1   ,201809160507,148,1001001009
CCH ,B1   ,201809160508,166,1001001009
CCH ,B1   ,201809160509,147,1001001009
CCH ,B1   ,201809160510,171,1001001009
CCH ,B1   ,201809160511,185,1001001009
CCH ,B1   ,201809160512,167,1001001009
CCH ,B1   ,201809160513,169,1001001009
CCH ,B1   ,201809160514,198,1001001009
CCH ,B1   ,201809160515,190,1001001009
CCH ,B1   ,201809160516,165,1001001009
CCH ,B1   ,201809160517,172,1001001009
CCH ,B1   ,201809160518,144,1001001009
CCH ,B1   ,201809160519,162,1001001009
CCH ,B1   ,201809160520,157,1001001009
CCH ,B1   ,201809160521,142,1001001009
CCH ,B1   ,201809160522,147,1001001009
CCH ,B1   ,201809160523,167,1001001009
CCH ,B1   ,201809160524,182,1001001009
CCH ,B1   ,201809160525,175,1001001009
CCH ,B1   ,201809160526,194,1001001009
CCH ,B1   ,201809160527,197,1001001009
CCH ,B1   ,201809160528,157,1001001009
CCH ,B1   ,201809160529,145,1001001009
CCH ,B1   ,201809160530,152,1001001009
CCH ,B1   ,201809160531,153,1001001009
CCH ,B1   ,201809160532,147,1001001009
CCH ,B1   ,201809160533,139,1001001009
CCH ,B1   ,201809160534,140,1001001009
CCH ,B1   ,201809160535,146,1001001009
CCH ,B1   ,201809160536,145,1001001009
CCH ,B1   ,201809160537,151,1001001009
CCH ,B1   ,201809160538,139,1001001009
CCH ,B1   ,201809160539,153,1001001009
CCH ,B1   ,201809160540,150,1001001009
CCH ,B1   ,201809160541,142,1001001009
CCH ,B1   ,201809160542,137,1001001009
CCH ,B1   ,201809160543,132,1001001009
CCH ,B1   ,201809160544,106,1001001009
CCH ,B1   ,201809160545,123,1001001009
CCH ,B1   ,201809160546,129,1001001009
CCH ,B1   ,201809160547,112,1001001009
CCH ,B1   ,201809160548,94,1001001009
CCH ,B1   ,201809160549,93,1001001009
CCH ,B1   ,201809160550,129,1001001009
CCH ,B1   ,201809160551,125,1001001009
CCH ,B1   ,201809160552,153,1001001009
CCH ,B1   ,201809160553,101,1001001009
CCH ,B1   ,201809160554,107,1001001009
CCH ,B1   ,201809160555,103,1001001009
CCH ,B1   ,201809160556,121,1001001009
CCH ,B1   ,201809160557,121,1001001009
CCH ,B1   ,201809160558,121,1001001009
CCH ,B1   ,201809160559,95,1001001009
CCH ,B1   ,201809160600,110,1001001009
CCH ,B1   ,201809160601,130,1001001009
CCH ,B1   ,201809160602,126,1001001009
CCH ,B1   ,201809160603,127,1001001009
CCH ,B1   ,201809160604,135,1001001009
CCH ,B1   ,201809160605,154,1001001009
CCH ,B1   ,201809160606,140,1001001009
CCH ,B1   ,201809160607,124,1001001009
CCH ,B1   ,201809160608,109,1001001009
CCH ,B1   ,201809160609,132,1001001009
CCH ,B1   ,201809160610,130,1001001009
CCH ,B1   ,201809160611,108,1001001009
CCH ,B1   ,201809160612,134,1001001009
CCH ,B1   ,201809160613,129,1001001009
CCH ,B1   ,201809160614,143,1001001009
CCH ,B1   ,201809160615,153,1001001009
CCH ,B1   ,201809160616,143,1001001009
CCH ,B1   ,201809160617,154,1001001009
CCH ,B1   ,201809160618,127,1001001009
CCH ,B1   ,201809160619,154,1001001009
CCH ,B1   ,201809160620,150,1001001009
CCH ,B1   ,201809160621,122,1001001009
CCH ,B1   ,201809160622,170,1001001009
CCH ,B1   ,201809160623,153,1001001009
CCH ,B1   ,201809160624,147,1001001009
CCH ,B1   ,201809160625,160,1001001009
CCH ,B1   ,201809160626,145,1001001009
CCH ,B1   ,201809160627,154,1001001009
CCH ,B1   ,201809160628,172,1001001009
CCH ,B1   ,201809160629,194,1001001009
CCH ,B1   ,201809160630,173,1001001009
CCH ,B1   ,201809160631,194,1001001009
CCH ,B1   ,201809160632,172,1001001009
CCH ,B1   ,201809160633,151,1001001009
CCH ,B1   ,201809160634,130,1001001009
CCH ,B1   ,201809160635,144,1001001009
CCH ,B1   ,201809160636,149,1001001009
CCH ,B1   ,201809160637,132,1001001009
CCH ,B1   ,201809160638,133,1001001009
CCH ,B1   ,201809160639,197,1001001009
CCH ,B1   ,201809160640,133,1001001009
CCH ,B1   ,201809160641,133,1001001009
CCH ,B1   ,201809160642,138,1001001009
CCH ,B1   ,201809160643,133,1001001009
CCH ,B1   ,201809160644,156,1001001009
CCH ,B1   ,201809160645,136,1001001009
CCH ,B1   ,201809160646,165,1001001009
CCH ,B1   ,201809160647,184,1001001009
CCH ,B1   ,201809160648,151,1001001009
CCH ,B1   ,201809160649,180,1001001009
CCH ,B1   ,201809160650,171,1001001009
CCH ,B1   ,201809160651,173,1001001009
CCH ,B1   ,201809160652,166,1001001009
CCH ,B1   ,201809160653,164,1001001009
CCH ,B1   ,201809160654,167,1001001009
CCH ,B1   ,201809160655,147,1001001009
CCH ,B1   ,201809160656,153,1001001009
CCH ,B1   ,201809160657,169,1001001009
CCH ,B1   ,201809160658,141,1001001009
CCH ,B1   ,201809160659,160,1001001009
CCH ,B1   ,201809160700,149,1001001009
CCH ,B1   ,201809160701,169,1001001009
CCH ,B1   ,201809160702,187,1001001009
CCH ,B1   ,201809160703,191,1001001009
CCH ,B1   ,201809160704,163,1001001009
CCH ,B1   ,201809160705,141,1001001009
CCH ,B1   ,201809160706,184,1001001009
CCH ,B1   ,201809160707,164,1001001009
CCH ,B1   ,201809160708,150,1001001009
CCH ,B1   ,201809160709,172,1001001009
CCH ,B1   ,201809160710,148,1001001009
CCH ,B1   ,201809160711,157,1001001009
CCH ,B1   ,201809160712,165,1001001009
CCH ,B1   ,201809160713,153,1001001009
CCH ,B1   ,201809160714,161,1001001009
CCH ,B1   ,201809160715,186,1001001009
CCH ,B1   ,201809160716,164,1001001009
CCH ,B1   ,201809160717,183,1001001009
CCH ,B1   ,201809160718,172,1001001009
CCH ,B1   ,201809160719,139,1001001009
CCH ,B1   ,201809160720,166,1001001009
CCH ,B1   ,201809160721,187,1001001009
CCH ,B1   ,201809160722,189,1001001009
CCH ,B1   ,201809160723,161,1001001009
CCH ,B1   ,201809160724,165,1001001009
CCH ,B1   ,201809160725,185,1001001009
CCH ,B1   ,201809160726,183,1001001009
CCH ,B1   ,201809160727,209,1001001009
CCH ,B1   ,201809160728,181,1001001009
CCH ,B1   ,201809160729,151,1001001009
CCH ,B1   ,201809160730,149,1001001009
CCH ,B1   ,201809160731,156,1001001009
CCH ,B1   ,201809160732,144,1001001009
CCH ,B1   ,201809160733,150,1001001009
CCH ,B1   ,201809160734,169,1001001009
CCH ,B1   ,201809160735,136,1001001009
CCH ,B1   ,201809160736,166,1001001009
CCH ,B1   ,201809160737,170,1001001009
CCH ,B1   ,201809160738,143,1001001009
CCH ,B1   ,201809160739,143,1001001009
CCH ,B1   ,201809160740,153,1001001009
CCH ,B1   ,201809160741,148,1001001009
CCH ,B1   ,201809160742,156,1001001009
CCH ,B1   ,201809160743,155,1001001009
CCH ,B1   ,201809160744,178,1001001009
CCH ,B1   ,201809160745,169,1001001009
CCH ,B1   ,201809160746,141,1001001009
CCH ,B1   ,201809160747,165,1001001009
CCH ,B1   ,201809160748,150,1001001009
CCH ,B1   ,201809160749,139,1001001009
CCH ,B1   ,201809160750,136,1001001009
CCH ,B1   ,201809160751,144,1001001009
CCH ,B1   ,201809160752,151,1001001009
CCH ,B1   ,201809160753,168,1001001009
CCH ,B1   ,201809160754,155,1001001009
CCH ,B1   ,201809160755,175,1001001009
CCH ,B1   ,201809160756,179,1001001009
CCH ,B1   ,201809160757,175,1001001009
CCH ,B1   ,201809160758,166,1001001009
CCH ,B1   ,201809160759,155,1001001009
CCH ,B1   ,201809160800,144,1001001009
CCH ,B1   ,201809160801,168,1001001009
CCH ,B1   ,201809160802,190,1001001009
CCH ,B1   ,201809160803,160,1001001009
CCH ,B1   ,201809160804,183,1001001009
CCH ,B1   ,201809160805,174,1001001009
CCH ,B1   ,201809160806,220,1001001009
CCH ,B1   ,201809160807,221,1001001009
CCH ,B1   ,201809160808,191,1001001009
CCH ,B1   ,201809160809,255,1001001009
CCH ,B1   ,201809160810,234,1001001009
CCH ,B1   ,201809160811,216,1001001009
CCH ,B1   ,201809160812,221,1001001009
CCH ,B1   ,201809160813,213,1001001009
CCH ,B1   ,201809160814,224,1001001009
CCH ,B1   ,201809160815,200,1001001009
CCH ,B1   ,201809160816,207,1001001009
CCH ,B1   ,201809160817,211,1001001009
CCH ,B1   ,201809160818,192,1001001009
CCH ,B1   ,201809160819,181,1001001009
CCH ,B1   ,201809160820,181,1001001009
CCH ,B1   ,201809160821,200,1001001009
CCH ,B1   ,201809160822,204,1001001009
CCH ,B1   ,201809160823,216,1001001009
CCH ,B1   ,201809160824,206,1001001009
CCH ,B1   ,201809160825,167,1001001009
CCH ,B1   ,201809160826,171,1001001009
CCH ,B1   ,201809160827,182,1001001009
CCH ,B1   ,201809160828,204,1001001009
CCH ,B1   ,201809160829,184,1001001009
CCH ,B1   ,201809160830,197,1001001009
CCH ,B1   ,201809160831,185,1001001009
CCH ,B1   ,201809160832,195,1001001009
CCH ,B1   ,201809160833,213,1001001009
CCH ,B1   ,201809160834,163,1001001009
CCH ,B1   ,201809160835,170,1001001009
CCH ,B1   ,201809160836,180,1001001009
CCH ,B1   ,201809160837,174,1001001009
CCH ,B1   ,201809160838,175,1001001009
CCH ,B1   ,201809160839,190,1001001009
CCH ,B1   ,201809160840,149,1001001009
CCH ,B1   ,201809160841,183,1001001009
CCH ,B1   ,201809160842,165,1001001009
CCH ,B1   ,201809160843,180,1001001009
CCH ,B1   ,201809160844,170,1001001009
CCH ,B1   ,201809160845,181,1001001009
CCH ,B1   ,201809160846,153,1001001009
CCH ,B1   ,201809160847,151,1001001009
CCH ,B1   ,201809160848,171,1001001009
CCH ,B1   ,201809160849,218,1001001009
CCH ,B1   ,201809160850,203,1001001009
CCH ,B1   ,201809160851,185,1001001009
CCH ,B1   ,201809160852,166,1001001009
CCH ,B1   ,201809160853,212,1001001009
