WLP ,B1   ,201809160225,40,1001001009
WLP ,B1   ,201809160226,44,1001001009
WLP ,B1   ,201809160227,50,1001001009
WLP ,B1   ,201809160228,44,1001001009
WLP ,B1   ,201809160229,40,1001001009
WLP ,B1   ,201809160230,50,1001001009
WLP ,B1   ,201809160231,46,1001001009
WLP ,B1   ,201809160232,57,1001001009
WLP ,B1   ,201809160233,45,1001001009
WLP ,B1   ,201809160234,42,1001001009
WLP ,B1   ,201809160235,42,1001001009
WLP ,B1   ,201809160236,42,1001001009
WLP ,B1   ,201809160237,52,1001001009
WLP ,B1   ,201809160238,42,1001001009
WLP ,B1   ,201809160239,45,1001001009
WLP ,B1   ,201809160240,46,1001001009
WLP ,B1   ,201809160241,32,1001001009
WLP ,B1   ,201809160242,34,1001001009
WLP ,B1   ,201809160243,58,1001001009
WLP ,B1   ,201809160244,65,1001001009
WLP ,B1   ,201809160245,50,1001001009
WLP ,B1   ,201809160246,37,1001001009
WLP ,B1   ,201809160247,39,1001001009
WLP ,B1   ,201809160248,42,1001001009
WLP ,B1   ,201809160249,47,1001001009
WLP ,B1   ,201809160250,48,1001001009
WLP ,B1   ,201809160251,51,1001001009
WLP ,B1   ,201809160252,39,1001001009
WLP ,B1   ,201809160253,42,1001001009
WLP ,B1   ,201809160254,24,1001001009
WLP ,B1   ,201809160255,38,1001001009
WLP ,B1   ,201809160256,37,1001001009
WLP ,B1   ,201809160257,41,1001001009
WLP ,B1   ,201809160258,21,1001001009
WLP ,B1   ,201809160259,40,1001001009
WLP ,B1   ,201809160300,53,1001001009
WLP ,B1   ,201809160301,48,1001001009
WLP ,B1   ,201809160302,36,1001001009
WLP ,B1   ,201809160303,39,1001001009
WLP ,B1   ,201809160304,31,1001001009
WLP ,B1   ,201809160305,27,1001001009
WLP ,B1   ,201809160306,55,1001001009
WLP ,B1   ,201809160307,44,1001001009
WLP ,B1   ,201809160308,29,1001001009
WLP ,B1   ,201809160309,31,1001001009
WLP ,B1   ,201809160310,33,1001001009
WLP ,B1   ,201809160311,62,1001001009
WLP ,B1   ,201809160312,44,1001001009
WLP ,B1   ,201809160313,24,1001001009
WLP ,B1   ,201809160314,48,1001001009
WLP ,B1   ,201809160315,46,1001001009
WLP ,B1   ,201809160316,34,1001001009
WLP ,B1   ,201809160317,41,1001001009
WLP ,B1   ,201809160318,28,1001001009
WLP ,B1   ,201809160319,29,1001001009
WLP ,B1   ,201809160320,44,1001001009
WLP ,B1   ,201809160321,19,1001001009
WLP ,B1   ,201809160322,29,1001001009
WLP ,B1   ,201809160323,40,1001001009
WLP ,B1   ,201809160324,56,1001001009
WLP ,B1   ,201809160325,59,1001001009
WLP ,B1   ,201809160326,45,1001001009
WLP ,B1   ,201809160327,60,1001001009
WLP ,B1   ,201809160328,30,1001001009
WLP ,B1   ,201809160329,31,1001001009
WLP ,B1   ,201809160330,33,1001001009
WLP ,B1   ,201809160331,46,1001001009
WLP ,B1   ,201809160332,48,1001001009
WLP ,B1   ,201809160333,46,1001001009
WLP ,B1   ,201809160334,31,1001001009
WLP ,B1   ,201809160335,20,1001001009
WLP ,B1   ,201809160336,30,1001001009
WLP ,B1   ,201809160337,24,1001001009
WLP ,B1   ,201809160338,43,1001001009
WLP ,B1   ,201809160339,41,1001001009
WLP ,B1   ,201809160340,50,1001001009
WLP ,B1   ,201809160341,57,1001001009
WLP ,B1   ,201809160342,66,1001001009
WLP ,B1   ,201809160343,46,1001001009
WLP ,B1   ,201809160344,52,1001001009
WLP ,B1   ,201809160345,29,1001001009
WLP ,B1   ,201809160346,53,1001001009
WLP ,B1   ,201809160347,56,1001001009
WLP ,B1   ,201809160348,37,1001001009
WLP ,B1   ,201809160349,26,1001001009
WLP ,B1   ,201809160350,38,1001001009
WLP ,B1   ,201809160351,61,1001001009
