SE  ,B1   ,201809160225,59,1001001009
SE  ,B1   ,201809160226,103,1001001009
SE  ,B1   ,201809160227,76,1001001009
SE  ,B1   ,201809160228,93,1001001009
SE  ,B1   ,201809160229,80,1001001009
SE  ,B1   ,201809160230,59,1001001009
SE  ,B1   ,201809160231,70,1001001009
SE  ,B1   ,201809160232,87,1001001009
SE  ,B1   ,201809160233,116,1001001009
SE  ,B1   ,201809160234,87,1001001009
SE  ,B1   ,201809160235,59,1001001009
SE  ,B1   ,201809160236,89,1001001009
SE  ,B1   ,201809160237,74,1001001009
SE  ,B1   ,201809160238,84,1001001009
SE  ,B1   ,201809160239,105,1001001009
SE  ,B1   ,201809160240,118,1001001009
SE  ,B1   ,201809160241,93,1001001009
SE  ,B1   ,201809160242,71,1001001009
SE  ,B1   ,201809160243,68,1001001009
SE  ,B1   ,201809160244,49,1001001009
SE  ,B1   ,201809160245,35,1001001009
SE  ,B1   ,201809160246,53,1001001009
SE  ,B1   ,201809160247,84,1001001009
SE  ,B1   ,201809160248,81,1001001009
SE  ,B1   ,201809160249,89,1001001009
SE  ,B1   ,201809160250,51,1001001009
SE  ,B1   ,201809160251,64,1001001009
SE  ,B1   ,201809160252,61,1001001009
SE  ,B1   ,201809160253,99,1001001009
SE  ,B1   ,201809160254,71,1001001009
SE  ,B1   ,201809160255,90,1001001009
SE  ,B1   ,201809160256,75,1001001009
SE  ,B1   ,201809160257,64,1001001009
SE  ,B1   ,201809160258,71,1001001009
SE  ,B1   ,201809160259,80,1001001009
SE  ,B1   ,201809160300,65,1001001009
SE  ,B1   ,201809160301,56,1001001009
SE  ,B1   ,201809160302,55,1001001009
SE  ,B1   ,201809160303,66,1001001009
SE  ,B1   ,201809160304,51,1001001009
SE  ,B1   ,201809160305,46,1001001009
SE  ,B1   ,201809160306,83,1001001009
SE  ,B1   ,201809160307,68,1001001009
SE  ,B1   ,201809160308,86,1001001009
SE  ,B1   ,201809160309,86,1001001009
SE  ,B1   ,201809160310,82,1001001009
SE  ,B1   ,201809160311,71,1001001009
SE  ,B1   ,201809160312,66,1001001009
SE  ,B1   ,201809160313,106,1001001009
SE  ,B1   ,201809160314,94,1001001009
SE  ,B1   ,201809160315,114,1001001009
SE  ,B1   ,201809160316,101,1001001009
SE  ,B1   ,201809160317,97,1001001009
SE  ,B1   ,201809160318,86,1001001009
SE  ,B1   ,201809160319,74,1001001009
SE  ,B1   ,201809160320,62,1001001009
SE  ,B1   ,201809160321,92,1001001009
SE  ,B1   ,201809160322,85,1001001009
SE  ,B1   ,201809160323,60,1001001009
SE  ,B1   ,201809160324,77,1001001009
SE  ,B1   ,201809160325,60,1001001009
SE  ,B1   ,201809160326,50,1001001009
SE  ,B1   ,201809160327,69,1001001009
SE  ,B1   ,201809160328,44,1001001009
SE  ,B1   ,201809160329,82,1001001009
SE  ,B1   ,201809160330,43,1001001009
SE  ,B1   ,201809160331,81,1001001009
SE  ,B1   ,201809160332,72,1001001009
SE  ,B1   ,201809160333,75,1001001009
SE  ,B1   ,201809160334,59,1001001009
SE  ,B1   ,201809160335,72,1001001009
SE  ,B1   ,201809160336,109,1001001009
SE  ,B1   ,201809160337,81,1001001009
SE  ,B1   ,201809160338,63,1001001009
SE  ,B1   ,201809160339,87,1001001009
SE  ,B1   ,201809160340,56,1001001009
SE  ,B1   ,201809160341,79,1001001009
SE  ,B1   ,201809160342,76,1001001009
SE  ,B1   ,201809160343,106,1001001009
SE  ,B1   ,201809160344,79,1001001009
SE  ,B1   ,201809160345,65,1001001009
SE  ,B1   ,201809160346,118,1001001009
SE  ,B1   ,201809160347,86,1001001009
SE  ,B1   ,201809160348,98,1001001009
SE  ,B1   ,201809160349,61,1001001009
SE  ,B1   ,201809160350,64,1001001009
SE  ,B1   ,201809160351,69,1001001009
SE  ,B1   ,201809160352,53,1001001009
SE  ,B1   ,201809160353,82,1001001009
SE  ,B1   ,201809160354,81,1001001009
SE  ,B1   ,201809160355,99,1001001009
SE  ,B1   ,201809160356,59,1001001009
SE  ,B1   ,201809160357,51,1001001009
SE  ,B1   ,201809160358,67,1001001009
SE  ,B1   ,201809160359,80,1001001009
SE  ,B1   ,201809160400,83,1001001009
SE  ,B1   ,201809160401,89,1001001009
SE  ,B1   ,201809160402,96,1001001009
SE  ,B1   ,201809160403,83,1001001009
SE  ,B1   ,201809160404,104,1001001009
SE  ,B1   ,201809160405,101,1001001009
SE  ,B1   ,201809160406,51,1001001009
SE  ,B1   ,201809160407,69,1001001009
SE  ,B1   ,201809160408,69,1001001009
SE  ,B1   ,201809160409,69,1001001009
SE  ,B1   ,201809160410,76,1001001009
SE  ,B1   ,201809160411,62,1001001009
SE  ,B1   ,201809160412,60,1001001009
SE  ,B1   ,201809160413,39,1001001009
SE  ,B1   ,201809160414,25,1001001009
SE  ,B1   ,201809160415,28,1001001009
SE  ,B1   ,201809160416,17,1001001009
SE  ,B1   ,201809160417,50,1001001009
SE  ,B1   ,201809160418,23,1001001009
SE  ,B1   ,201809160419,64,1001001009
SE  ,B1   ,201809160420,89,1001001009
SE  ,B1   ,201809160421,57,1001001009
SE  ,B1   ,201809160422,72,1001001009
SE  ,B1   ,201809160423,60,1001001009
SE  ,B1   ,201809160424,71,1001001009
SE  ,B1   ,201809160425,62,1001001009
SE  ,B1   ,201809160426,65,1001001009
SE  ,B1   ,201809160427,50,1001001009
SE  ,B1   ,201809160428,27,1001001009
SE  ,B1   ,201809160429,33,1001001009
SE  ,B1   ,201809160430,92,1001001009
SE  ,B1   ,201809160431,61,1001001009
SE  ,B1   ,201809160432,35,1001001009
SE  ,B1   ,201809160433,49,1001001009
SE  ,B1   ,201809160434,51,1001001009
SE  ,B1   ,201809160435,46,1001001009
SE  ,B1   ,201809160436,51,1001001009
SE  ,B1   ,201809160437,73,1001001009
SE  ,B1   ,201809160438,58,1001001009
SE  ,B1   ,201809160439,58,1001001009
SE  ,B1   ,201809160440,69,1001001009
SE  ,B1   ,201809160441,72,1001001009
SE  ,B1   ,201809160442,85,1001001009
SE  ,B1   ,201809160443,84,1001001009
SE  ,B1   ,201809160444,69,1001001009
SE  ,B1   ,201809160445,75,1001001009
SE  ,B1   ,201809160446,28,1001001009
SE  ,B1   ,201809160447,37,1001001009
SE  ,B1   ,201809160448,57,1001001009
SE  ,B1   ,201809160449,64,1001001009
SE  ,B1   ,201809160450,66,1001001009
SE  ,B1   ,201809160451,84,1001001009
SE  ,B1   ,201809160452,83,1001001009
SE  ,B1   ,201809160453,91,1001001009
SE  ,B1   ,201809160454,71,1001001009
SE  ,B1   ,201809160455,77,1001001009
SE  ,B1   ,201809160456,51,1001001009
SE  ,B1   ,201809160457,46,1001001009
SE  ,B1   ,201809160458,46,1001001009
SE  ,B1   ,201809160459,59,1001001009
SE  ,B1   ,201809160500,18,1001001009
SE  ,B1   ,201809160501,16,1001001009
SE  ,B1   ,201809160502,31,1001001009
SE  ,B1   ,201809160503,40,1001001009
SE  ,B1   ,201809160504,83,1001001009
SE  ,B1   ,201809160505,87,1001001009
SE  ,B1   ,201809160506,55,1001001009
SE  ,B1   ,201809160507,36,1001001009
SE  ,B1   ,201809160508,26,1001001009
SE  ,B1   ,201809160509,35,1001001009
SE  ,B1   ,201809160510,38,1001001009
SE  ,B1   ,201809160511,44,1001001009
SE  ,B1   ,201809160512,46,1001001009
SE  ,B1   ,201809160513,30,1001001009
SE  ,B1   ,201809160514,41,1001001009
SE  ,B1   ,201809160515,40,1001001009
SE  ,B1   ,201809160516,45,1001001009
SE  ,B1   ,201809160517,75,1001001009
SE  ,B1   ,201809160518,68,1001001009
SE  ,B1   ,201809160519,51,1001001009
SE  ,B1   ,201809160520,25,1001001009
SE  ,B1   ,201809160521,77,1001001009
SE  ,B1   ,201809160522,73,1001001009
SE  ,B1   ,201809160523,39,1001001009
SE  ,B1   ,201809160524,59,1001001009
SE  ,B1   ,201809160525,77,1001001009
SE  ,B1   ,201809160526,59,1001001009
SE  ,B1   ,201809160527,64,1001001009
