SEK ,B1   ,201809160225,45,1001001009
SEK ,B1   ,201809160226,50,1001001009
SEK ,B1   ,201809160227,44,1001001009
SEK ,B1   ,201809160228,29,1001001009
SEK ,B1   ,201809160229,38,1001001009
SEK ,B1   ,201809160230,24,1001001009
SEK ,B1   ,201809160231,46,1001001009
SEK ,B1   ,201809160232,41,1001001009
SEK ,B1   ,201809160233,42,1001001009
SEK ,B1   ,201809160234,39,1001001009
SEK ,B1   ,201809160235,70,1001001009
SEK ,B1   ,201809160236,72,1001001009
SEK ,B1   ,201809160237,45,1001001009
SEK ,B1   ,201809160238,40,1001001009
SEK ,B1   ,201809160239,45,1001001009
SEK ,B1   ,201809160240,43,1001001009
SEK ,B1   ,201809160241,54,1001001009
SEK ,B1   ,201809160242,47,1001001009
SEK ,B1   ,201809160243,49,1001001009
SEK ,B1   ,201809160244,58,1001001009
SEK ,B1   ,201809160245,37,1001001009
SEK ,B1   ,201809160246,64,1001001009
SEK ,B1   ,201809160247,55,1001001009
SEK ,B1   ,201809160248,81,1001001009
SEK ,B1   ,201809160249,71,1001001009
SEK ,B1   ,201809160250,79,1001001009
SEK ,B1   ,201809160251,53,1001001009
SEK ,B1   ,201809160252,42,1001001009
SEK ,B1   ,201809160253,47,1001001009
SEK ,B1   ,201809160254,59,1001001009
SEK ,B1   ,201809160255,57,1001001009
SEK ,B1   ,201809160256,51,1001001009
SEK ,B1   ,201809160257,32,1001001009
SEK ,B1   ,201809160258,34,1001001009
SEK ,B1   ,201809160259,72,1001001009
SEK ,B1   ,201809160300,59,1001001009
SEK ,B1   ,201809160301,61,1001001009
SEK ,B1   ,201809160302,53,1001001009
SEK ,B1   ,201809160303,55,1001001009
SEK ,B1   ,201809160304,43,1001001009
SEK ,B1   ,201809160305,49,1001001009
SEK ,B1   ,201809160306,70,1001001009
SEK ,B1   ,201809160307,41,1001001009
SEK ,B1   ,201809160308,48,1001001009
SEK ,B1   ,201809160309,44,1001001009
SEK ,B1   ,201809160310,40,1001001009
SEK ,B1   ,201809160311,52,1001001009
SEK ,B1   ,201809160312,56,1001001009
SEK ,B1   ,201809160313,81,1001001009
SEK ,B1   ,201809160314,60,1001001009
SEK ,B1   ,201809160315,42,1001001009
SEK ,B1   ,201809160316,53,1001001009
SEK ,B1   ,201809160317,45,1001001009
SEK ,B1   ,201809160318,34,1001001009
SEK ,B1   ,201809160319,22,1001001009
SEK ,B1   ,201809160320,51,1001001009
SEK ,B1   ,201809160321,40,1001001009
SEK ,B1   ,201809160322,40,1001001009
SEK ,B1   ,201809160323,54,1001001009
SEK ,B1   ,201809160324,61,1001001009
SEK ,B1   ,201809160325,68,1001001009
SEK ,B1   ,201809160326,83,1001001009
SEK ,B1   ,201809160327,61,1001001009
SEK ,B1   ,201809160328,63,1001001009
SEK ,B1   ,201809160329,65,1001001009
SEK ,B1   ,201809160330,51,1001001009
SEK ,B1   ,201809160331,45,1001001009
