YTS ,B1   ,201809160225,244,1001001009
YTS ,B1   ,201809160226,246,1001001009
YTS ,B1   ,201809160227,249,1001001009
YTS ,B1   ,201809160228,231,1001001009
YTS ,B1   ,201809160229,228,1001001009
YTS ,B1   ,201809160230,245,1001001009
YTS ,B1   ,201809160231,274,1001001009
YTS ,B1   ,201809160232,,
YTS ,B1   ,201809160233,232,1001001009
YTS ,B1   ,201809160234,223,1001001009
YTS ,B1   ,201809160235,242,1001001009
YTS ,B1   ,201809160236,271,1001001009
YTS ,B1   ,201809160237,215,1001001009
YTS ,B1   ,201809160238,249,1001001009
YTS ,B1   ,201809160239,255,1001001009
YTS ,B1   ,201809160240,,
YTS ,B1   ,201809160241,242,1001001009
YTS ,B1   ,201809160242,235,1001001009
YTS ,B1   ,201809160243,260,1001001009
YTS ,B1   ,201809160244,257,1001001009
YTS ,B1   ,201809160245,227,1001001009
YTS ,B1   ,201809160246,269,1001001009
YTS ,B1   ,201809160247,289,1001001009
YTS ,B1   ,201809160248,211,1001001009
YTS ,B1   ,201809160249,224,1001001009
YTS ,B1   ,201809160250,274,1001001009
YTS ,B1   ,201809160251,234,1001001009
YTS ,B1   ,201809160252,277,1001001009
YTS ,B1   ,201809160253,242,1001001009
YTS ,B1   ,201809160254,293,1001001009
YTS ,B1   ,201809160255,270,1001001009
YTS ,B1   ,201809160256,251,1001001009
YTS ,B1   ,201809160257,269,1001001009
YTS ,B1   ,201809160258,255,1001001009
YTS ,B1   ,201809160259,247,1001001009
YTS ,B1   ,201809160300,276,1001001009
YTS ,B1   ,201809160301,278,1001001009
YTS ,B1   ,201809160302,242,1001001009
YTS ,B1   ,201809160303,267,1001001009
YTS ,B1   ,201809160304,237,1001001009
YTS ,B1   ,201809160305,206,1001001009
YTS ,B1   ,201809160306,224,1001001009
YTS ,B1   ,201809160307,266,1001001009
YTS ,B1   ,201809160308,239,1001001009
YTS ,B1   ,201809160309,239,1001001009
YTS ,B1   ,201809160310,260,1001001009
YTS ,B1   ,201809160311,299,1001001009
YTS ,B1   ,201809160312,197,1001001009
YTS ,B1   ,201809160313,234,1001001009
YTS ,B1   ,201809160314,258,1001001009
YTS ,B1   ,201809160315,243,1001001009
