TKL ,J1   ,201809160225,303,1101001009
TKL ,J1   ,201809160226,303,1101001009
TKL ,J1   ,201809160227,303,1101001009
TKL ,J1   ,201809160228,302,1101001009
TKL ,J1   ,201809160229,302,1101001009
TKL ,J1   ,201809160230,301,1101001009
TKL ,J1   ,201809160231,300,1101001009
TKL ,J1   ,201809160232,299,1101001009
TKL ,J1   ,201809160233,298,1101001009
TKL ,J1   ,201809160234,298,1101001009
TKL ,J1   ,201809160235,297,1101001009
TKL ,J1   ,201809160236,297,1101001009
TKL ,J1   ,201809160237,297,1101001009
TKL ,J1   ,201809160238,297,1101001009
TKL ,J1   ,201809160239,296,1101001009
TKL ,J1   ,201809160240,296,1101001009
TKL ,J1   ,201809160241,297,1101001009
TKL ,J1   ,201809160242,296,1101001009
TKL ,J1   ,201809160243,296,1101001009
TKL ,J1   ,201809160244,295,1101001009
TKL ,J1   ,201809160245,296,1101001009
TKL ,J1   ,201809160246,296,1101001009
TKL ,J1   ,201809160247,297,1101001009
TKL ,J1   ,201809160248,298,1101001009
TKL ,J1   ,201809160249,299,1101001009
TKL ,J1   ,201809160250,299,1101001009
TKL ,J1   ,201809160251,299,1101001009
TKL ,J1   ,201809160252,298,1101001009
TKL ,J1   ,201809160253,298,1101001009
TKL ,J1   ,201809160254,298,1101001009
TKL ,J1   ,201809160255,298,1101001009
TKL ,J1   ,201809160256,299,1101001009
TKL ,J1   ,201809160257,298,1101001009
TKL ,J1   ,201809160258,298,1101001009
TKL ,J1   ,201809160259,297,1101001009
TKL ,J1   ,201809160300,297,1101001009
TKL ,J1   ,201809160301,297,1101001009
TKL ,J1   ,201809160302,296,1101001009
TKL ,J1   ,201809160303,297,1101001009
TKL ,J1   ,201809160304,298,1101001009
TKL ,J1   ,201809160305,298,1101001009
TKL ,J1   ,201809160306,298,1101001009
TKL ,J1   ,201809160307,298,1101001009
TKL ,J1   ,201809160308,298,1101001009
TKL ,J1   ,201809160309,299,1101001009
TKL ,J1   ,201809160310,299,1101001009
TKL ,J1   ,201809160311,299,1101001009
TKL ,J1   ,201809160312,299,1101001009
TKL ,J1   ,201809160313,299,1101001009
TKL ,J1   ,201809160314,299,1101001009
TKL ,J1   ,201809160315,300,1101001009
TKL ,J1   ,201809160316,300,1101001009
TKL ,J1   ,201809160317,300,1101001009
TKL ,J1   ,201809160318,300,1101001009
TKL ,J1   ,201809160319,300,1101001009
TKL ,J1   ,201809160320,300,1101001009
TKL ,J1   ,201809160321,300,1101001009
TKL ,J1   ,201809160322,300,1101001009
TKL ,J1   ,201809160323,300,1101001009
TKL ,J1   ,201809160324,299,1101001009
TKL ,J1   ,201809160325,299,1101001009
TKL ,J1   ,201809160326,299,1101001009
TKL ,J1   ,201809160327,300,1101001009
TKL ,J1   ,201809160328,300,1101001009
TKL ,J1   ,201809160329,300,1101001009
TKL ,J1   ,201809160330,300,1101001009
TKL ,J1   ,201809160331,300,1101001009
TKL ,J1   ,201809160332,301,1101001009
TKL ,J1   ,201809160333,301,1101001009
TKL ,J1   ,201809160334,301,1101001009
TKL ,J1   ,201809160335,301,1101001009
TKL ,J1   ,201809160336,301,1101001009
TKL ,J1   ,201809160337,301,1101001009
TKL ,J1   ,201809160338,300,1101001009
TKL ,J1   ,201809160339,300,1101001009
TKL ,J1   ,201809160340,301,1101001009
TKL ,J1   ,201809160341,301,1101001009
TKL ,J1   ,201809160342,301,1101001009
TKL ,J1   ,201809160343,302,1101001009
TKL ,J1   ,201809160344,302,1101001009
TKL ,J1   ,201809160345,302,1101001009
TKL ,J1   ,201809160346,302,1101001009
TKL ,J1   ,201809160347,302,1101001009
TKL ,J1   ,201809160348,302,1101001009
TKL ,J1   ,201809160349,302,1101001009
TKL ,J1   ,201809160350,302,1101001009
TKL ,J1   ,201809160351,302,1101001009
TKL ,J1   ,201809160352,303,1101001009
TKL ,J1   ,201809160353,303,1101001009
TKL ,J1   ,201809160354,304,1101001009
TKL ,J1   ,201809160355,304,1101001009
TKL ,J1   ,201809160356,304,1101001009
TKL ,J1   ,201809160357,304,1101001009
TKL ,J1   ,201809160358,304,1101001009
TKL ,J1   ,201809160359,303,1101001009
TKL ,J1   ,201809160400,303,1101001009
TKL ,J1   ,201809160401,303,1101001009
TKL ,J1   ,201809160402,303,1101001009
TKL ,J1   ,201809160403,303,1101001009
TKL ,J1   ,201809160404,303,1101001009
TKL ,J1   ,201809160405,303,1101001009
TKL ,J1   ,201809160406,304,1101001009
TKL ,J1   ,201809160407,304,1101001009
TKL ,J1   ,201809160408,303,1101001009
TKL ,J1   ,201809160409,303,1101001009
TKL ,J1   ,201809160410,303,1101001009
TKL ,J1   ,201809160411,302,1101001009
TKL ,J1   ,201809160412,300,1101001009
TKL ,J1   ,201809160413,299,1101001009
TKL ,J1   ,201809160414,297,1101001009
TKL ,J1   ,201809160415,296,1101001009
TKL ,J1   ,201809160416,295,1101001009
TKL ,J1   ,201809160417,294,1101001009
TKL ,J1   ,201809160418,295,1101001009
TKL ,J1   ,201809160419,295,1101001009
TKL ,J1   ,201809160420,297,1101001009
TKL ,J1   ,201809160421,297,1101001009
TKL ,J1   ,201809160422,297,1101001009
TKL ,J1   ,201809160423,297,1101001009
TKL ,J1   ,201809160424,298,1101001009
TKL ,J1   ,201809160425,299,1101001009
TKL ,J1   ,201809160426,299,1101001009
TKL ,J1   ,201809160427,299,1101001009
TKL ,J1   ,201809160428,299,1101001009
TKL ,J1   ,201809160429,300,1101001009
TKL ,J1   ,201809160430,301,1101001009
TKL ,J1   ,201809160431,302,1101001009
TKL ,J1   ,201809160432,302,1101001009
TKL ,J1   ,201809160433,302,1101001009
TKL ,J1   ,201809160434,302,1101001009
TKL ,J1   ,201809160435,302,1101001009
TKL ,J1   ,201809160436,301,1101001009
TKL ,J1   ,201809160437,301,1101001009
TKL ,J1   ,201809160438,302,1101001009
TKL ,J1   ,201809160439,302,1101001009
TKL ,J1   ,201809160440,302,1101001009
TKL ,J1   ,201809160441,302,1101001009
TKL ,J1   ,201809160442,302,1101001009
TKL ,J1   ,201809160443,302,1101001009
