SLW ,B1   ,201809160225,50,1001001009
SLW ,B1   ,201809160226,81,1001001009
SLW ,B1   ,201809160227,70,1001001009
SLW ,B1   ,201809160228,56,1001001009
SLW ,B1   ,201809160229,55,1001001009
SLW ,B1   ,201809160230,58,1001001009
SLW ,B1   ,201809160231,66,1001001009
SLW ,B1   ,201809160232,62,1001001009
SLW ,B1   ,201809160233,74,1001001009
SLW ,B1   ,201809160234,62,1001001009
SLW ,B1   ,201809160235,59,1001001009
SLW ,B1   ,201809160236,56,1001001009
SLW ,B1   ,201809160237,62,1001001009
SLW ,B1   ,201809160238,51,1001001009
SLW ,B1   ,201809160239,56,1001001009
SLW ,B1   ,201809160240,65,1001001009
SLW ,B1   ,201809160241,54,1001001009
SLW ,B1   ,201809160242,61,1001001009
SLW ,B1   ,201809160243,52,1001001009
SLW ,B1   ,201809160244,47,1001001009
SLW ,B1   ,201809160245,52,1001001009
SLW ,B1   ,201809160246,50,1001001009
SLW ,B1   ,201809160247,44,1001001009
SLW ,B1   ,201809160248,60,1001001009
SLW ,B1   ,201809160249,63,1001001009
SLW ,B1   ,201809160250,46,1001001009
SLW ,B1   ,201809160251,51,1001001009
SLW ,B1   ,201809160252,47,1001001009
SLW ,B1   ,201809160253,44,1001001009
SLW ,B1   ,201809160254,54,1001001009
SLW ,B1   ,201809160255,65,1001001009
SLW ,B1   ,201809160256,57,1001001009
SLW ,B1   ,201809160257,62,1001001009
SLW ,B1   ,201809160258,62,1001001009
SLW ,B1   ,201809160259,57,1001001009
SLW ,B1   ,201809160300,58,1001001009
SLW ,B1   ,201809160301,58,1001001009
SLW ,B1   ,201809160302,66,1001001009
SLW ,B1   ,201809160303,48,1001001009
SLW ,B1   ,201809160304,55,1001001009
SLW ,B1   ,201809160305,53,1001001009
SLW ,B1   ,201809160306,62,1001001009
SLW ,B1   ,201809160307,63,1001001009
SLW ,B1   ,201809160308,64,1001001009
SLW ,B1   ,201809160309,57,1001001009
SLW ,B1   ,201809160310,53,1001001009
SLW ,B1   ,201809160311,59,1001001009
SLW ,B1   ,201809160312,67,1001001009
SLW ,B1   ,201809160313,61,1001001009
SLW ,B1   ,201809160314,51,1001001009
SLW ,B1   ,201809160315,49,1001001009
SLW ,B1   ,201809160316,44,1001001009
SLW ,B1   ,201809160317,46,1001001009
SLW ,B1   ,201809160318,47,1001001009
SLW ,B1   ,201809160319,56,1001001009
SLW ,B1   ,201809160320,50,1001001009
SLW ,B1   ,201809160321,50,1001001009
SLW ,B1   ,201809160322,55,1001001009
SLW ,B1   ,201809160323,64,1001001009
SLW ,B1   ,201809160324,59,1001001009
SLW ,B1   ,201809160325,65,1001001009
SLW ,B1   ,201809160326,57,1001001009
SLW ,B1   ,201809160327,58,1001001009
SLW ,B1   ,201809160328,55,1001001009
SLW ,B1   ,201809160329,57,1001001009
SLW ,B1   ,201809160330,61,1001001009
SLW ,B1   ,201809160331,66,1001001009
SLW ,B1   ,201809160332,59,1001001009
SLW ,B1   ,201809160333,55,1001001009
SLW ,B1   ,201809160334,54,1001001009
SLW ,B1   ,201809160335,72,1001001009
SLW ,B1   ,201809160336,48,1001001009
SLW ,B1   ,201809160337,60,1001001009
SLW ,B1   ,201809160338,61,1001001009
SLW ,B1   ,201809160339,63,1001001009
SLW ,B1   ,201809160340,65,1001001009
SLW ,B1   ,201809160341,55,1001001009
SLW ,B1   ,201809160342,55,1001001009
SLW ,B1   ,201809160343,72,1001001009
SLW ,B1   ,201809160344,71,1001001009
SLW ,B1   ,201809160345,62,1001001009
SLW ,B1   ,201809160346,74,1001001009
SLW ,B1   ,201809160347,51,1001001009
SLW ,B1   ,201809160348,55,1001001009
SLW ,B1   ,201809160349,56,1001001009
SLW ,B1   ,201809160350,74,1001001009
SLW ,B1   ,201809160351,56,1001001009
SLW ,B1   ,201809160352,54,1001001009
SLW ,B1   ,201809160353,71,1001001009
SLW ,B1   ,201809160354,79,1001001009
SLW ,B1   ,201809160355,66,1001001009
SLW ,B1   ,201809160356,62,1001001009
SLW ,B1   ,201809160357,46,1001001009
SLW ,B1   ,201809160358,61,1001001009
SLW ,B1   ,201809160359,62,1001001009
