TPK ,B1   ,201809160225,76,1001001009
TPK ,B1   ,201809160226,72,1001001009
TPK ,B1   ,201809160227,76,1001001009
TPK ,B1   ,201809160228,73,1001001009
TPK ,B1   ,201809160229,71,1001001009
TPK ,B1   ,201809160230,86,1001001009
TPK ,B1   ,201809160231,79,1001001009
TPK ,B1   ,201809160232,104,1001001009
TPK ,B1   ,201809160233,91,1001001009
TPK ,B1   ,201809160234,89,1001001009
TPK ,B1   ,201809160235,81,1001001009
TPK ,B1   ,201809160236,88,1001001009
TPK ,B1   ,201809160237,104,1001001009
TPK ,B1   ,201809160238,104,1001001009
TPK ,B1   ,201809160239,100,1001001009
TPK ,B1   ,201809160240,109,1001001009
TPK ,B1   ,201809160241,94,1001001009
TPK ,B1   ,201809160242,97,1001001009
TPK ,B1   ,201809160243,102,1001001009
TPK ,B1   ,201809160244,129,1001001009
TPK ,B1   ,201809160245,75,1001001009
TPK ,B1   ,201809160246,88,1001001009
TPK ,B1   ,201809160247,91,1001001009
TPK ,B1   ,201809160248,83,1001001009
TPK ,B1   ,201809160249,85,1001001009
TPK ,B1   ,201809160250,79,1001001009
TPK ,B1   ,201809160251,54,1001001009
TPK ,B1   ,201809160252,58,1001001009
TPK ,B1   ,201809160253,73,1001001009
TPK ,B1   ,201809160254,54,1001001009
TPK ,B1   ,201809160255,62,1001001009
TPK ,B1   ,201809160256,131,1001001009
TPK ,B1   ,201809160257,81,1001001009
TPK ,B1   ,201809160258,85,1001001009
TPK ,B1   ,201809160259,98,1001001009
TPK ,B1   ,201809160300,81,1001001009
TPK ,B1   ,201809160301,81,1001001009
TPK ,B1   ,201809160302,51,1001001009
TPK ,B1   ,201809160303,85,1001001009
TPK ,B1   ,201809160304,74,1001001009
TPK ,B1   ,201809160305,92,1001001009
TPK ,B1   ,201809160306,88,1001001009
TPK ,B1   ,201809160307,77,1001001009
TPK ,B1   ,201809160308,132,1001001009
TPK ,B1   ,201809160309,73,1001001009
TPK ,B1   ,201809160310,37,1001001009
TPK ,B1   ,201809160311,55,1001001009
TPK ,B1   ,201809160312,69,1001001009
TPK ,B1   ,201809160313,64,1001001009
TPK ,B1   ,201809160314,73,1001001009
TPK ,B1   ,201809160315,81,1001001009
TPK ,B1   ,201809160316,90,1001001009
TPK ,B1   ,201809160317,102,1001001009
TPK ,B1   ,201809160318,76,1001001009
TPK ,B1   ,201809160319,75,1001001009
TPK ,B1   ,201809160320,68,1001001009
TPK ,B1   ,201809160321,85,1001001009
TPK ,B1   ,201809160322,59,1001001009
TPK ,B1   ,201809160323,70,1001001009
TPK ,B1   ,201809160324,85,1001001009
TPK ,B1   ,201809160325,65,1001001009
TPK ,B1   ,201809160326,59,1001001009
TPK ,B1   ,201809160327,66,1001001009
TPK ,B1   ,201809160328,88,1001001009
TPK ,B1   ,201809160329,88,1001001009
TPK ,B1   ,201809160330,83,1001001009
TPK ,B1   ,201809160331,72,1001001009
TPK ,B1   ,201809160332,79,1001001009
TPK ,B1   ,201809160333,86,1001001009
TPK ,B1   ,201809160334,105,1001001009
TPK ,B1   ,201809160335,80,1001001009
TPK ,B1   ,201809160336,85,1001001009
TPK ,B1   ,201809160337,79,1001001009
TPK ,B1   ,201809160338,84,1001001009
TPK ,B1   ,201809160339,83,1001001009
TPK ,B1   ,201809160340,84,1001001009
TPK ,B1   ,201809160341,70,1001001009
TPK ,B1   ,201809160342,50,1001001009
TPK ,B1   ,201809160343,94,1001001009
TPK ,B1   ,201809160344,91,1001001009
TPK ,B1   ,201809160345,68,1001001009
TPK ,B1   ,201809160346,77,1001001009
TPK ,B1   ,201809160347,52,1001001009
TPK ,B1   ,201809160348,59,1001001009
TPK ,B1   ,201809160349,87,1001001009
TPK ,B1   ,201809160350,71,1001001009
TPK ,B1   ,201809160351,69,1001001009
TPK ,B1   ,201809160352,44,1001001009
TPK ,B1   ,201809160353,98,1001001009
TPK ,B1   ,201809160354,92,1001001009
TPK ,B1   ,201809160355,71,1001001009
TPK ,B1   ,201809160356,49,1001001009
TPK ,B1   ,201809160357,88,1001001009
TPK ,B1   ,201809160358,85,1001001009
TPK ,B1   ,201809160359,81,1001001009
TPK ,B1   ,201809160400,63,1001001009
TPK ,B1   ,201809160401,83,1001001009
TPK ,B1   ,201809160402,86,1001001009
TPK ,B1   ,201809160403,58,1001001009
TPK ,B1   ,201809160404,69,1001001009
TPK ,B1   ,201809160405,81,1001001009
TPK ,B1   ,201809160406,111,1001001009
TPK ,B1   ,201809160407,86,1001001009
TPK ,B1   ,201809160408,77,1001001009
TPK ,B1   ,201809160409,61,1001001009
TPK ,B1   ,201809160410,79,1001001009
TPK ,B1   ,201809160411,72,1001001009
TPK ,B1   ,201809160412,87,1001001009
TPK ,B1   ,201809160413,66,1001001009
TPK ,B1   ,201809160414,64,1001001009
TPK ,B1   ,201809160415,56,1001001009
TPK ,B1   ,201809160416,80,1001001009
TPK ,B1   ,201809160417,96,1001001009
TPK ,B1   ,201809160418,113,1001001009
TPK ,B1   ,201809160419,87,1001001009
TPK ,B1   ,201809160420,97,1001001009
TPK ,B1   ,201809160421,66,1001001009
TPK ,B1   ,201809160422,72,1001001009
TPK ,B1   ,201809160423,71,1001001009
TPK ,B1   ,201809160424,54,1001001009
TPK ,B1   ,201809160425,55,1001001009
TPK ,B1   ,201809160426,24,1001001009
TPK ,B1   ,201809160427,23,1001001009
TPK ,B1   ,201809160428,56,1001001009
TPK ,B1   ,201809160429,38,1001001009
TPK ,B1   ,201809160430,56,1001001009
TPK ,B1   ,201809160431,88,1001001009
TPK ,B1   ,201809160432,76,1001001009
TPK ,B1   ,201809160433,73,1001001009
TPK ,B1   ,201809160434,44,1001001009
TPK ,B1   ,201809160435,49,1001001009
TPK ,B1   ,201809160436,40,1001001009
TPK ,B1   ,201809160437,61,1001001009
TPK ,B1   ,201809160438,111,1001001009
TPK ,B1   ,201809160439,66,1001001009
TPK ,B1   ,201809160440,41,1001001009
TPK ,B1   ,201809160441,47,1001001009
TPK ,B1   ,201809160442,57,1001001009
TPK ,B1   ,201809160443,114,1001001009
TPK ,B1   ,201809160444,93,1001001009
TPK ,B1   ,201809160445,97,1001001009
TPK ,B1   ,201809160446,110,1001001009
TPK ,B1   ,201809160447,57,1001001009
TPK ,B1   ,201809160448,67,1001001009
TPK ,B1   ,201809160449,47,1001001009
TPK ,B1   ,201809160450,62,1001001009
TPK ,B1   ,201809160451,71,1001001009
TPK ,B1   ,201809160452,83,1001001009
TPK ,B1   ,201809160453,66,1001001009
TPK ,B1   ,201809160454,64,1001001009
TPK ,B1   ,201809160455,72,1001001009
TPK ,B1   ,201809160456,110,1001001009
TPK ,B1   ,201809160457,64,1001001009
TPK ,B1   ,201809160458,51,1001001009
TPK ,B1   ,201809160459,60,1001001009
TPK ,B1   ,201809160500,83,1001001009
TPK ,B1   ,201809160501,96,1001001009
TPK ,B1   ,201809160502,58,1001001009
TPK ,B1   ,201809160503,48,1001001009
TPK ,B1   ,201809160504,58,1001001009
TPK ,B1   ,201809160505,58,1001001009
TPK ,B1   ,201809160506,81,1001001009
TPK ,B1   ,201809160507,77,1001001009
TPK ,B1   ,201809160508,68,1001001009
TPK ,B1   ,201809160509,32,1001001009
TPK ,B1   ,201809160510,47,1001001009
TPK ,B1   ,201809160511,46,1001001009
TPK ,B1   ,201809160512,58,1001001009
TPK ,B1   ,201809160513,107,1001001009
TPK ,B1   ,201809160514,95,1001001009
TPK ,B1   ,201809160515,65,1001001009
TPK ,B1   ,201809160516,45,1001001009
TPK ,B1   ,201809160517,76,1001001009
TPK ,B1   ,201809160518,64,1001001009
TPK ,B1   ,201809160519,73,1001001009
TPK ,B1   ,201809160520,50,1001001009
TPK ,B1   ,201809160521,44,1001001009
TPK ,B1   ,201809160522,102,1001001009
TPK ,B1   ,201809160523,103,1001001009
TPK ,B1   ,201809160524,61,1001001009
TPK ,B1   ,201809160525,60,1001001009
TPK ,B1   ,201809160526,92,1001001009
TPK ,B1   ,201809160527,117,1001001009
TPK ,B1   ,201809160528,95,1001001009
TPK ,B1   ,201809160529,81,1001001009
TPK ,B1   ,201809160530,75,1001001009
TPK ,B1   ,201809160531,54,1001001009
TPK ,B1   ,201809160532,55,1001001009
